,1. 航天桥西,2. 航天桥北,3. 花园桥北,4. 紫竹桥,5. 万寿寺,6. 为公桥,7. 苏州桥南,8. 三义庙,9. 四通桥西,10. 四通桥东,11. 大钟寺,12. 地铁大钟寺站,13. 蓟门桥西,14. 北太平桥西,15. 马甸桥东,16. 安华桥西,17. 安贞桥西,18. 安贞桥东,19. 和平西桥,20. 和平东桥,21. 太阳宫桥,22. 西坝河,23. 静安庄东,24. 三元桥南,25. 亮马桥,26. 白家庄,27. 呼家楼南,28. 大北窑北,29. 大北窑南,30. 双井桥北,31. 双井桥南,32. 潘家园桥北,33. 十里河桥北,34. 十里河桥南,35. 方庄桥东,36. 方庄桥西,37. 刘家窑桥,38. 木樨园桥东,39. 木樨园桥西,40. 洋桥西,41. 草桥,42. 玉泉营桥西,43. 夏家胡同,44. 丽泽桥,45. 西局,46. 六里桥南,47. 六里桥北里,48. 公主坟南,49. 玉渊潭西门,50. 航天桥南,51. 航天桥西
10,0,0,0.019775684,0.029669907,0.020093534,0.03459216,0.027785711,0.023302931,0.021382473,0.037074374,0.058266828,0.029820162,0.029268623,0.029099099,0.028843799,0.020085226,0.026451167,0.026761142,0.038257708,0.032406199,0.043384393,0.037022666,0.040417055,0.025782558,0.026864001,0.037832902,0.029389166,0.059545975,0.053443423,0.058462776,0.05286896,0.044602403,0.05687807,0.048712437,0.06549498,0.068200166,0.062656207,0.063701152,0.061612168,0.070642795,0.068073498,0.05385673,0.053430917,0.054788461,0.060275647,0.055611301,0.068348823,0.046396936,0.042919422,0,0
10,0,0,0.017292537,0.02328527,0.017133703,0.035623312,0.024490654,0.017946853,0.017813079,0.039813612,0.066553627,0.034334788,0.022470157,0.029550016,0.034938457,0.022904605,0.027379271,0.02845293,0.035452709,0.028184293,0.033864368,0.032232857,0.043933752,0.028312904,0.028584678,0.046578706,0.034635513,0.055315583,0.058012261,0.054438105,0.04736619,0.043695734,0.042968805,0.043195713,0.056288119,0.041603572,0.043493492,0.037917542,0.032049159,0.033085072,0.041398567,0.047058079,0.059163337,0.052070498,0.046561604,0.048844154,0.065932109,0.049670915,0.039661737,0,0
11,0,0,0.015168173,0.017976988,0.015509922,0.029075616,0.021387062,0.01670401,0.017824317,0.03538323,0.049644311,0.027461446,0.02767899,0.026072769,0.032587596,0.019331853,0.028552813,0.032040753,0.035651166,0.033651221,0.038462965,0.038150934,0.045490969,0.039366824,0.02729142,0.044277022,0.027354605,0.044636451,0.05425171,0.052591669,0.0373368,0.023825888,0.03315987,0.033105966,0.042164551,0.043515612,0.033088717,0.042704665,0.042926681,0.039185761,0.053493321,0.043873165,0.043591555,0.039906474,0.03483015,0.063461663,0.05685797,0.049210757,0.029952258,0,0
11,0,0,0.014407278,0.021073275,0.015530689,0.028075426,0.027861203,0.016756832,0.018860707,0.028932784,0.037089841,0.024001921,0.021274958,0.024553224,0.029754301,0.024558717,0.025895231,0.023010629,0.025760081,0.027189465,0.032331039,0.036043523,0.039401308,0.026314185,0.039654838,0.038784701,0.032394048,0.042144603,0.036252181,0.046531424,0.03567364,0.043844525,0.045207995,0.042416763,0.045392507,0.037433839,0.041968824,0.038431892,0.0395904,0.039671262,0.036783329,0.029757145,0.032483047,0.027312567,0.025322635,0.035949415,0.049832414,0.039601803,0.022134605,0,0
12,0,0,0.017974555,0.019158255,0.013688537,0.025437676,0.025106942,0.013215089,0.017258841,0.03341373,0.04102947,0.024373709,0.02085078,0.022667319,0.026150885,0.01718605,0.025882199,0.026583579,0.025699372,0.025432361,0.025155862,0.029651307,0.038429239,0.024181393,0.031477762,0.044042218,0.035791012,0.045501204,0.051979509,0.049538316,0.035112445,0.029608102,0.038647743,0.034639256,0.043871014,0.029191175,0.031474012,0.029234595,0.019451187,0.02724099,0.033672683,0.032457445,0.040430018,0.034971074,0.029974349,0.042009574,0.044766164,0.040143791,0.022026913,0,0
12,0,0,0.016866735,0.022002676,0.015194159,0.026438663,0.020416286,0.01459519,0.013662047,0.027149387,0.03122181,0.018800635,0.017877616,0.021022266,0.026086051,0.016132486,0.019290716,0.019597042,0.02035506,0.022235441,0.022813844,0.025081162,0.030608838,0.020409118,0.022576057,0.025136062,0.027953242,0.055416158,0.050092226,0.04777143,0.032300298,0.039314061,0.03290324,0.029730853,0.035636007,0.030819289,0.030603915,0.032219908,0.031677306,0.038088366,0.041462974,0.040994737,0.043868279,0.030227168,0.028600868,0.040631118,0.036687444,0.04010984,0.017020911,0,0
13,0,0,0.015790804,0.022641177,0.015123478,0.024552781,0.021084067,0.017240961,0.017914176,0.03182314,0.037807747,0.022296114,0.019998629,0.022630549,0.027629966,0.014629434,0.018776457,0.016336701,0.024300747,0.025111077,0.023408602,0.024725929,0.033906346,0.017115211,0.016663193,0.026929229,0.028715185,0.033813289,0.028610615,0.030399219,0.02709,0.033758535,0.041833725,0.037984297,0.043421028,0.037677087,0.03741659,0.042533909,0.039109627,0.037824432,0.044939598,0.038066866,0.036285921,0.03911494,0.043441531,0.039662814,0.033525001,0.025382517,0.009817371,0,0
13,0,0,0.014610914,0.021686034,0.016135677,0.028179549,0.025967296,0.018108166,0.015994738,0.02827525,0.033675145,0.022356721,0.025781441,0.020984622,0.024265129,0.016799854,0.024194336,0.017821463,0.02185904,0.019510146,0.02574154,0.025261465,0.032667171,0.022013381,0.025235761,0.037383982,0.026430849,0.030570541,0.02963219,0.026053017,0.023520598,0.021987363,0.024194528,0.023699989,0.041896418,0.028426972,0.024903057,0.025814866,0.025997079,0.027382498,0.027010299,0.024468834,0.026545329,0.02258319,0.018760771,0.026512212,0.035892932,0.024686661,0.022699612,0,0
14,0,0,0.018981506,0.019833285,0.014546049,0.025883162,0.022058029,0.018037781,0.0169889,0.031331195,0.035878604,0.023996582,0.02603735,0.027555965,0.029883202,0.017087567,0.020016217,0.022882408,0.030901764,0.027671694,0.031613583,0.025232015,0.02979613,0.022011626,0.026608368,0.025988376,0.023402166,0.034619674,0.033255266,0.031285521,0.015721666,0.02316633,0.02537354,0.021153212,0.022101345,0.015576586,0.018886323,0.020301268,0.019701824,0.023393317,0.025218642,0.02009708,0.026676326,0.019789767,0.017697943,0.035284915,0.038255329,0.028578746,0.013848016,0,0
14,0,0,0.018018646,0.023720261,0.015259463,0.029389206,0.026986184,0.017840639,0.019844293,0.032435539,0.03540118,0.023982122,0.021307647,0.029593751,0.025794788,0.016746664,0.024273289,0.0239371,0.027032311,0.022221897,0.030831234,0.028478093,0.043511795,0.026854884,0.030336009,0.03669533,0.026113412,0.037928021,0.036807186,0.035864802,0.029286586,0.026390623,0.034240288,0.026539182,0.027413158,0.022561402,0.020227494,0.02593023,0.017696275,0.016972537,0.019066108,0.019452328,0.025221943,0.017215624,0.011187853,0.024384834,0.021349335,0.015704933,0.008840231,0,0
