,Time,Bus_No,Station_No,Next_station,Remain_distance,Total_distance
0,07:12:39,26701,45,西局,0,43818
1,07:13:54,26701,46,六里桥南,0,44862
2,07:14:19,26701,46,六里桥南,230,44632
3,07:14:44,26701,46,六里桥南,0,44862
4,07:16:24,26701,47,六里桥北里,943,45224
5,07:16:47,26701,47,六里桥北里,896,45271
6,07:17:09,26701,47,六里桥北里,858,45309
7,07:17:34,26701,47,六里桥北里,763,45404
8,07:17:59,26701,47,六里桥北里,688,45479
9,07:18:22,26701,47,六里桥北里,632,45535
10,07:18:44,26701,47,六里桥北里,577,45590
11,07:19:09,26701,47,六里桥北里,489,45678
12,07:19:54,26701,47,六里桥北里,266,45901
13,07:20:19,26701,47,六里桥北里,0,46167
14,07:22:18,26701,48,公主坟南,1086,46793
15,07:22:39,26701,48,公主坟南,937,46942
16,07:23:02,26701,48,公主坟南,738,47141
17,07:23:24,26701,48,公主坟南,727,47152
18,07:23:46,26701,48,公主坟南,606,47273
19,07:24:08,26701,48,公主坟南,389,47490
20,07:24:29,26701,48,公主坟南,239,47640
21,07:24:54,26701,48,公主坟南,0,47879
22,07:26:07,26701,49,玉渊潭西门,1544,46756
23,07:26:29,26701,49,玉渊潭西门,1345,46955
24,07:26:54,26701,49,玉渊潭西门,1110,47190
25,07:27:19,26701,49,玉渊潭西门,920,47380
26,07:27:40,26701,49,玉渊潭西门,789,47511
27,07:28:02,26701,49,玉渊潭西门,622,47678
28,07:28:24,26701,49,玉渊潭西门,409,47891
29,07:28:46,26701,49,玉渊潭西门,137,48163
30,07:29:09,26701,50,航天桥南,304,48496
31,07:29:33,26701,50,航天桥南,65,48735
32,07:29:54,26701,51,航天桥西,401,48599
33,07:30:16,26701,2,航天桥北,166,1327
34,07:30:39,26701,2,航天桥北,14,1479
35,07:31:00,26701,2,航天桥北,0,1493
36,07:31:24,26701,3,花园桥北,789,1401
37,07:31:45,26701,3,花园桥北,623,1567
38,07:32:06,26701,3,花园桥北,464,1726
39,07:32:27,26701,3,花园桥北,263,1927
40,07:32:48,26701,3,花园桥北,0,2190
41,07:33:31,26701,4,紫竹桥,564,2261
42,07:33:52,26701,4,紫竹桥,464,2361
43,07:34:14,26701,4,紫竹桥,400,2425
44,07:34:39,26701,4,紫竹桥,303,2522
45,07:35:04,26701,4,紫竹桥,0,2825
46,07:35:51,26701,5,万寿寺,496,3171
47,07:36:14,26701,5,万寿寺,326,3341
48,07:36:39,26701,5,万寿寺,236,3431
49,07:37:04,26701,5,万寿寺,153,3514
50,07:37:29,26701,5,万寿寺,61,3606
51,07:37:53,26701,5,万寿寺,0,3667
52,07:39:04,26701,6,为公桥,619,3615
53,07:39:29,26701,6,为公桥,454,3780
54,07:39:54,26701,6,为公桥,205,4029
55,07:40:19,26701,7,苏州桥南,447,4527
56,07:40:44,26701,7,苏州桥南,0,4974
57,07:41:07,26701,8,三义庙,546,4781
58,07:41:29,26701,8,三义庙,263,5064
59,07:41:54,26701,8,三义庙,0,5327
60,07:42:19,26701,9,四通桥西,0,5879
61,07:42:44,26701,10,四通桥东,301,6830
62,07:43:09,26701,10,四通桥东,34,7097
63,07:43:34,26701,11,大钟寺,977,6770
64,07:43:59,26701,11,大钟寺,779,6968
65,07:44:24,26701,11,大钟寺,506,7241
66,07:44:49,26701,11,大钟寺,212,7535
67,07:45:14,26701,12,地铁大钟寺站,466,7644
68,07:45:39,26701,12,地铁大钟寺站,103,8007
69,07:46:04,26701,13,蓟门桥西,123,9411
70,07:46:29,26701,13,蓟门桥西,0,9534
71,07:47:19,26701,14,北太平桥西,1114,9913
72,07:47:44,26701,14,北太平桥西,836,10191
73,07:48:09,26701,14,北太平桥西,515,10512
74,07:48:34,26701,14,北太平桥西,247,10780
75,07:48:59,26701,14,北太平桥西,0,11027
76,07:50:14,26701,15,马甸桥东,1303,10308
77,07:51:04,26701,15,马甸桥东,779,10832
78,07:51:29,26701,15,马甸桥东,579,11032
79,07:51:54,26701,15,马甸桥东,376,11235
80,07:52:19,26701,15,马甸桥东,320,11291
81,07:52:44,26701,15,马甸桥东,294,11317
82,07:53:08,26701,15,马甸桥东,252,11359
83,07:53:29,26701,15,马甸桥东,189,11422
84,07:53:54,26701,15,马甸桥东,121,11490
85,07:54:19,26701,15,马甸桥东,0,11611
86,07:55:34,26701,16,安华桥西,428,12101
87,07:55:59,26701,16,安华桥西,339,12190
88,07:56:24,26701,16,安华桥西,272,12257
89,07:56:49,26701,16,安华桥西,172,12357
90,07:57:14,26701,16,安华桥西,14,12515
91,07:57:39,26701,16,安华桥西,0,12529
92,07:58:04,26701,17,安贞桥西,770,12624
93,07:58:54,26701,17,安贞桥西,542,12852
94,07:59:19,26701,17,安贞桥西,457,12937
95,07:59:44,26701,17,安贞桥西,329,13065
96,08:00:09,26701,17,安贞桥西,182,13212
97,08:00:59,26701,17,安贞桥西,0,13394
98,08:02:39,26701,18,安贞桥东,696,13433
99,08:03:04,26701,18,安贞桥东,623,13506
100,08:03:29,26701,18,安贞桥东,539,13590
101,08:03:54,26701,18,安贞桥东,313,13816
102,08:04:19,26701,18,安贞桥东,106,14023
103,08:04:44,26701,18,安贞桥东,0,14129
104,08:05:09,26701,19,和平西桥,624,13770
105,08:05:59,26701,19,和平西桥,278,14116
106,08:06:24,26701,19,和平西桥,101,14293
107,08:06:49,26701,19,和平西桥,0,14394
108,08:09:44,26701,20,和平东桥,111,15048
