,发车时间,1. 航天桥西,2. 航天桥北,3. 花园桥北,4. 紫竹桥,5. 万寿寺,6. 为公桥,7. 苏州桥南,8. 三义庙,9. 四通桥西,10. 四通桥东,11. 大钟寺,12. 地铁大钟寺站,13. 蓟门桥西,14. 北太平桥西,15. 马甸桥东,16. 安华桥西,17. 安贞桥西,18. 安贞桥东,19. 和平西桥,20. 和平东桥,21. 太阳宫桥,22. 西坝河,23. 静安庄东,24. 三元桥南,25. 亮马桥,26. 白家庄,27. 呼家楼南,28. 大北窑北,29. 大北窑南,30. 双井桥北,31. 双井桥南,32. 潘家园桥北,33. 十里河桥北,34. 十里河桥南,35. 方庄桥东,36. 方庄桥西,37. 刘家窑桥,38. 木樨园桥东,39. 木樨园桥西,40. 洋桥西,41. 草桥,42. 玉泉营桥西,43. 夏家胡同,44. 丽泽桥,45. 西局,46. 六里桥南,47. 六里桥北里,48. 公主坟南,49. 玉渊潭西门,50. 航天桥南,51. 航天桥西
0,07:14:11,,,12.14,5.46,4.17,7.49,,14.32,,,10.15,14.44,,12.74,11.04,4.98,6.09,7.17,2.65,,4.17,9.16,5.11,7.03,8.59,8.98,1.97,4.46,1.86,5.84,7.04,10.99,11.63,2.12,11.23,8.84,7.72,8.74,8.83,7.8,12.59,11.8,12.09,9.86,8.54,9.2,9.03,5.7,10.72,2.42,
1,16:56:34,,,10.2,11.26,9.42,6.07,7.69,4.37,,1.42,4.41,6.56,,12.3,7.76,3.42,5.43,8.31,2.36,,4.68,6.04,0.75,2.98,2.48,2.37,0.67,0.35,1.11,5.84,2.93,4.56,8.58,1.98,10.12,,14.72,14.43,8.66,11.44,12.9,12.34,10.37,10.07,,13.54,11.54,10.99,13.04,3.06,
2,08:03:14,,,6.88,6.29,5.14,7.32,4.13,1.76,,3.01,6.59,3.23,,9.73,6.65,4.67,4.58,6.08,6.32,2.41,4.19,6.61,6.6,4.09,6.14,6.27,1.26,2.48,2.34,5.85,1.41,13.87,9.37,8.18,12.13,10.15,13.24,14.24,9.29,11.7,13.37,11.8,10.95,9.8,12.1,13.8,7.05,5.56,9.37,2.17,
3,14:31:43,,,9.4,11.91,7.76,6.07,3.83,6.38,,1.2,6.03,4.92,,11.66,11.32,,6.93,5.47,4.59,2.5,4.68,7.24,3.4,2.85,4.48,6.2,2.53,2.65,3.88,7.3,8.34,4.28,6.57,2.23,11.02,7.78,9.79,8.41,9.53,9.35,13.48,11.99,8.5,7.39,11.28,9.02,7.27,5.24,10.33,4.51,0.73
4,17:45:22,,,8.77,12.26,5.51,5.06,7.82,2.74,,0.64,4.25,6.56,,11.42,3.92,3.81,5.67,5.38,2.8,3.1,5.26,5.68,1.42,3.46,7.7,3.24,1.05,1.67,1.63,5.11,2.05,4.4,10.27,8.18,13.19,8.84,11.72,10.67,12.17,12.18,14.8,13.59,14.12,8.96,11.84,,10.74,9.47,11.86,3.06,0.0
5,21:33:15,,,8.9,12.57,,5.22,3.33,6.44,,2.6,8.66,8.28,,13.04,12.68,9.54,9.41,4.92,3.63,1.92,4.68,7.75,3.07,10.38,5.31,5.71,2.7,2.65,3.81,5.71,3.87,9.56,10.12,1.44,12.95,11.74,11.44,12.74,13.59,9.67,13.21,11.52,14.98,14.22,11.96,13.04,10.88,12.63,12.56,2.18,
6,05:12:47,,,9.18,9.78,10.98,4.92,,6.56,,1.44,6.61,5.06,,10.71,10.32,8.08,9.41,8.31,3.25,2.07,4.38,6.27,3.2,9.16,,10.29,5.24,6.88,6.8,7.4,2.35,10.1,12.11,,9.96,,8.84,10.58,11.77,11.2,11.68,10.86,10.36,10.93,7.71,8.69,4.37,7.12,6.52,4.48,1.16
7,07:52:29,,,8.77,9.88,3.52,4.84,6.27,2.27,,1.08,7.65,7.5,,10.73,6.3,2.38,,5.99,8.16,,2.39,7.75,3.24,5.32,6.71,8.09,1.62,2.28,1.15,5.22,1.52,13.29,10.96,6.22,10.7,,11.55,12.98,12.39,10.4,13.03,13.21,8.79,10.75,12.38,,7.08,5.0,9.26,,
8,10:47:59,,,10.29,11.64,7.04,5.99,4.75,5.17,,1.72,6.34,6.37,,12.74,12.11,5.2,4.11,12.06,5.15,,4.09,7.43,6.83,5.09,7.28,6.84,2.55,3.71,1.21,5.06,2.42,9.56,10.89,4.61,12.47,11.06,10.96,12.98,10.99,,12.25,12.4,7.36,13.2,11.75,13.3,8.46,6.18,11.04,2.7,
9,17:56:16,,,8.93,12.24,8.65,3.84,2.86,1.73,1.35,1.37,4.59,2.89,,7.69,6.76,3.03,6.23,6.84,2.58,1.87,4.19,2.23,1.44,2.22,11.06,8.15,2.52,1.31,2.03,5.06,1.62,5.2,8.17,2.22,14.09,,13.95,11.9,10.99,12.44,15.22,12.33,12.36,9.98,12.94,11.96,12.44,10.72,11.91,6.33,
