,Time,Bus_No,Station_No,Next_station,Remain_distance,Total_distance
0,06:41:10,26701,45,西局,0,43818
1,06:41:56,26701,46,六里桥南,0,44862
2,06:42:20,26701,46,六里桥南,438,44424
3,06:42:45,26701,46,六里桥南,187,44675
4,06:43:10,26701,46,六里桥南,0,44862
5,06:44:25,26701,47,六里桥北里,919,45248
6,06:44:50,26701,47,六里桥北里,817,45350
7,06:45:15,26701,47,六里桥北里,706,45461
8,06:45:40,26701,47,六里桥北里,566,45601
9,06:46:01,26701,47,六里桥北里,461,45706
10,06:46:25,26701,47,六里桥北里,325,45842
11,06:46:49,26701,47,六里桥北里,139,46028
12,06:47:10,26701,47,六里桥北里,0,46167
13,06:48:50,26701,48,公主坟南,1099,46780
14,06:49:14,26701,48,公主坟南,1031,46848
15,06:49:35,26701,48,公主坟南,937,46942
16,06:50:00,26701,48,公主坟南,787,47092
17,06:50:25,26701,48,公主坟南,757,47122
18,06:50:50,26701,48,公主坟南,646,47233
19,06:51:12,26701,48,公主坟南,558,47321
20,06:51:35,26701,48,公主坟南,404,47475
21,06:52:00,26701,48,公主坟南,252,47627
22,06:52:24,26701,48,公主坟南,104,47775
23,06:52:45,26701,48,公主坟南,0,47879
24,06:53:31,26701,49,玉渊潭西门,1601,46699
25,06:53:55,26701,49,玉渊潭西门,1408,46892
26,06:54:16,26701,49,玉渊潭西门,1256,47044
27,06:54:40,26701,49,玉渊潭西门,1010,47290
28,06:55:02,26701,49,玉渊潭西门,696,47604
29,06:55:25,26701,49,玉渊潭西门,369,47931
30,06:55:46,26701,49,玉渊潭西门,85,48215
31,06:56:10,26701,50,航天桥南,264,48536
32,06:56:35,26701,50,航天桥南,179,48621
33,06:56:56,26701,50,航天桥南,38,48762
34,06:57:19,26701,51,航天桥西,335,48665
35,06:57:40,26701,51,航天桥西,155,48845
36,06:58:04,26701,2,航天桥北,14,1479
37,06:58:25,26701,3,花园桥北,856,1334
38,06:58:48,26701,3,花园桥北,594,1596
39,06:59:10,26701,3,花园桥北,311,1879
40,06:59:31,26701,3,花园桥北,42,2148
41,06:59:55,26701,3,花园桥北,0,2190
42,07:00:16,26701,4,紫竹桥,578,2247
43,07:00:38,26701,4,紫竹桥,290,2535
44,07:01:00,26701,4,紫竹桥,0,2825
45,07:02:15,26701,5,万寿寺,301,3366
46,07:02:40,26701,5,万寿寺,163,3504
47,07:03:05,26701,5,万寿寺,0,3667
48,07:03:55,26701,6,为公桥,606,3628
49,07:04:20,26701,6,为公桥,389,3845
50,07:04:45,26701,6,为公桥,0,4234
51,07:05:10,26701,7,苏州桥南,282,4692
52,07:05:35,26701,7,苏州桥南,0,4974
53,07:06:00,26701,8,三义庙,277,5050
54,07:06:25,26701,9,四通桥西,236,5643
55,07:06:50,26701,10,四通桥东,417,6714
56,07:07:15,26701,10,四通桥东,72,7059
57,07:07:40,26701,11,大钟寺,977,6770
58,07:08:05,26701,11,大钟寺,791,6956
59,07:08:30,26701,11,大钟寺,506,7241
60,07:08:55,26701,11,大钟寺,176,7571
61,07:09:20,26701,12,地铁大钟寺站,440,7670
62,07:09:45,26701,12,地铁大钟寺站,80,8030
63,07:10:10,26701,13,蓟门桥西,0,9534
64,07:11:00,26701,14,北太平桥西,1274,9753
65,07:11:25,26701,14,北太平桥西,992,10035
66,07:11:50,26701,14,北太平桥西,644,10383
67,07:12:15,26701,14,北太平桥西,301,10726
68,07:12:40,26701,14,北太平桥西,0,11027
69,07:13:30,26701,15,马甸桥东,1205,10406
70,07:13:55,26701,15,马甸桥东,903,10708
71,07:14:20,26701,15,马甸桥东,565,11046
72,07:14:45,26701,15,马甸桥东,241,11370
73,07:15:10,26701,15,马甸桥东,0,11611
74,07:16:25,26701,16,安华桥西,416,12113
75,07:16:50,26701,16,安华桥西,96,12433
76,07:17:15,26701,16,安华桥西,0,12529
77,07:17:40,26701,17,安贞桥西,788,12606
78,07:18:05,26701,17,安贞桥西,472,12922
79,07:18:30,26701,17,安贞桥西,169,13225
80,07:18:55,26701,17,安贞桥西,0,13394
81,07:19:45,26701,18,安贞桥东,749,13380
82,07:20:10,26701,18,安贞桥东,497,13632
83,07:20:35,26701,18,安贞桥东,216,13913
84,07:21:00,26701,18,安贞桥东,0,14129
85,07:22:15,26701,19,和平西桥,474,13920
86,07:22:40,26701,19,和平西桥,265,14129
87,07:23:05,26701,19,和平西桥,86,14308
88,07:23:30,26701,19,和平西桥,0,14394
89,07:24:20,26701,20,和平东桥,125,15034
90,07:24:45,26701,20,和平东桥,0,15159
91,07:25:10,26701,21,太阳宫桥,657,15217
92,07:25:35,26701,21,太阳宫桥,613,15261
93,07:26:25,26701,21,太阳宫桥,475,15399
94,07:26:50,26701,21,太阳宫桥,240,15634
95,07:27:15,26701,21,太阳宫桥,105,15769
96,07:27:40,26701,21,太阳宫桥,25,15849
97,07:28:05,26701,21,太阳宫桥,0,15874
98,07:30:10,26701,22,西坝河,434,16573
99,07:30:35,26701,22,西坝河,177,16830
100,07:31:00,26701,22,西坝河,14,16993
101,07:31:25,26701,22,西坝河,0,17007
102,07:32:15,26701,23,静安庄东,780,17052
103,07:32:40,26701,23,静安庄东,486,17346
104,07:33:05,26701,23,静安庄东,327,17505
105,07:35:10,26701,23,静安庄东,313,17519
106,07:35:35,26701,23,静安庄东,88,17744
107,07:36:00,26701,23,静安庄东,0,17832
108,07:36:50,26701,24,三元桥南,715,18589
109,07:37:15,26701,24,三元桥南,444,18860
110,07:37:40,26701,24,三元桥南,162,19142
111,07:38:05,26701,24,三元桥南,0,19304
112,07:38:55,26701,25,亮马桥,1154,20024
113,07:39:20,26701,25,亮马桥,846,20332
114,07:39:45,26701,25,亮马桥,692,20486
115,07:40:10,26701,25,亮马桥,624,20554
116,07:40:35,26701,25,亮马桥,391,20787
117,07:41:00,26701,25,亮马桥,95,21083
118,07:41:25,26701,25,亮马桥,0,21178
119,07:41:50,26701,26,白家庄,1657,20577
120,07:42:15,26701,26,白家庄,1349,20885
121,07:42:40,26701,26,白家庄,1137,21097
122,07:43:05,26701,26,白家庄,964,21270
123,07:43:30,26701,26,白家庄,714,21520
124,07:43:55,26701,26,白家庄,399,21835
125,07:44:20,26701,26,白家庄,117,22117
126,07:44:45,26701,26,白家庄,0,22234
127,07:45:10,26701,27,呼家楼南,944,21994
128,07:45:35,26701,27,呼家楼南,707,22231
129,07:46:00,26701,27,呼家楼南,593,22345
130,07:48:05,26701,27,呼家楼南,506,22432
131,07:48:30,26701,27,呼家楼南,274,22664
132,07:48:55,26701,27,呼家楼南,202,22736
133,07:51:25,26701,27,呼家楼南,103,22835
134,07:51:50,26701,27,呼家楼南,0,22938
135,07:52:40,26701,28,大北窑北,453,23177
136,07:53:05,26701,28,大北窑北,196,23434
137,07:53:30,26701,28,大北窑北,0,23630
138,07:54:20,26701,29,大北窑南,481,24276
139,07:54:45,26701,29,大北窑南,387,24370
140,07:55:10,26701,29,大北窑南,336,24421
141,07:55:35,26701,29,大北窑南,190,24567
142,07:56:00,26701,29,大北窑南,81,24676
143,07:56:25,26701,29,大北窑南,0,24757
144,07:57:40,26701,30,双井桥北,990,24452
145,07:58:05,26701,30,双井桥北,972,24470
146,07:58:30,26701,30,双井桥北,744,24698
147,07:58:55,26701,30,双井桥北,602,24840
148,07:59:20,26701,30,双井桥北,444,24998
149,07:59:45,26701,30,双井桥北,196,25246
150,08:00:10,26701,30,双井桥北,0,25442
151,08:01:00,26701,31,双井桥南,344,26305
152,08:01:25,26701,31,双井桥南,69,26580
153,08:01:50,26701,31,双井桥南,12,26637
154,08:02:15,26701,31,双井桥南,0,26649
155,08:03:30,26701,32,潘家园桥北,1055,26692
156,08:03:55,26701,32,潘家园桥北,778,26969
157,08:04:20,26701,32,潘家园桥北,462,27285
158,08:04:45,26701,32,潘家园桥北,118,27629
159,08:05:10,26701,32,潘家园桥北,0,27747
160,08:06:00,26701,33,十里河桥北,675,27583
161,08:06:25,26701,33,十里河桥北,401,27857
162,08:06:50,26701,33,十里河桥北,141,28117
163,08:07:40,26701,33,十里河桥北,0,28258
164,08:08:05,26701,34,十里河桥南,334,29357
165,08:08:30,26701,34,十里河桥南,188,29503
166,08:10:35,26701,34,十里河桥南,0,29691
167,08:11:50,26701,35,方庄桥东,1230,29173
168,08:12:15,26701,35,方庄桥东,939,29464
169,08:12:40,26701,35,方庄桥东,706,29697
170,08:13:05,26701,35,方庄桥东,478,29925
171,08:13:30,26701,35,方庄桥东,179,30224
172,08:13:55,26701,35,方庄桥东,0,30403
173,08:14:45,26701,36,方庄桥西,553,31008
174,08:15:10,26701,36,方庄桥西,310,31251
175,08:15:35,26701,36,方庄桥西,0,31561
176,08:16:50,26701,37,刘家窑桥,993,32006
177,08:17:15,26701,37,刘家窑桥,751,32248
178,08:17:40,26701,37,刘家窑桥,506,32493
179,08:18:05,26701,37,刘家窑桥,310,32689
180,08:18:30,26701,37,刘家窑桥,0,32999
181,08:19:45,26701,38,木樨园桥东,1163,32892
182,08:20:10,26701,38,木樨园桥东,918,33137
183,08:20:35,26701,38,木樨园桥东,659,33396
184,08:21:00,26701,38,木樨园桥东,459,33596
185,08:21:25,26701,38,木樨园桥东,338,33717
186,08:21:50,26701,38,木樨园桥东,221,33834
187,08:22:15,26701,38,木樨园桥东,115,33940
188,08:22:40,26701,38,木樨园桥东,0,34055
189,08:24:20,26701,39,木樨园桥西,940,33948
190,08:24:45,26701,39,木樨园桥西,704,34184
191,08:25:10,26701,39,木樨园桥西,418,34470
192,08:25:35,26701,39,木樨园桥西,181,34707
193,08:26:00,26701,39,木樨园桥西,0,34888
194,08:26:50,26701,40,洋桥西,647,36286
195,08:27:15,26701,40,洋桥西,520,36413
196,08:27:40,26701,40,洋桥西,292,36641
197,08:28:05,26701,40,洋桥西,0,36933
198,08:28:55,26701,41,草桥,1940,36896
199,08:29:20,26701,41,草桥,1775,37061
