,发车时间,1. 航天桥西,2. 航天桥北,3. 花园桥北,4. 紫竹桥,5. 万寿寺,6. 为公桥,7. 苏州桥南,8. 三义庙,9. 四通桥西,10. 四通桥东,11. 大钟寺,12. 地铁大钟寺站,13. 蓟门桥西,14. 北太平桥西,15. 马甸桥东,16. 安华桥西,17. 安贞桥西,18. 安贞桥东,19. 和平西桥,20. 和平东桥,21. 太阳宫桥,22. 西坝河,23. 静安庄东,24. 三元桥南,25. 亮马桥,26. 白家庄,27. 呼家楼南,28. 大北窑北,29. 大北窑南,30. 双井桥北,31. 双井桥南,32. 潘家园桥北,33. 十里河桥北,34. 十里河桥南,35. 方庄桥东,36. 方庄桥西,37. 刘家窑桥,38. 木樨园桥东,39. 木樨园桥西,40. 洋桥西,41. 草桥,42. 玉泉营桥西,43. 夏家胡同,44. 丽泽桥,45. 西局,46. 六里桥南,47. 六里桥北里,48. 公主坟南,49. 玉渊潭西门,50. 航天桥南,51. 航天桥西
0,07:15:12,,,9.38,4.95,5.14,7.83,,12.76,,,11.8,,,11.66,6.92,5.66,4.79,7.38,3.43,,4.6,10.18,8.54,8.29,8.01,8.94,1.88,4.23,2.91,6.81,6.08,10.1,9.29,1.5,10.97,11.06,12.55,10.29,8.52,9.35,11.09,11.33,11.53,12.04,10.06,11.26,5.21,2.82,5.98,3.15,2.87
1,16:56:49,,,9.41,10.98,7.11,6.73,7.78,5.09,,1.72,5.83,5.06,,12.59,7.11,1.78,4.18,6.59,5.15,,5.99,8.17,1.65,2.2,12.5,6.21,1.51,1.78,0.83,5.14,2.35,10.69,9.0,3.58,10.28,9.78,13.41,11.63,13.64,9.8,12.85,13.48,11.53,13.44,9.46,12.22,11.67,9.79,11.95,4.34,
2,05:31:48,,,10.35,,8.43,8.46,7.96,6.9,,7.52,9.26,,,12.03,12.79,,10.85,11.06,2.94,1.67,4.79,7.2,4.91,7.11,12.5,10.35,2.6,7.24,4.57,6.09,2.17,8.32,9.71,2.22,10.36,7.78,9.79,11.51,10.79,11.2,11.43,10.03,13.58,9.26,,9.6,4.32,6.25,5.0,3.93,3.73
3,08:20:38,,,8.91,10.3,4.97,10.75,4.61,3.39,,1.38,5.34,6.3,,11.66,3.67,2.54,4.15,6.96,4.59,2.8,0.76,8.05,3.53,3.71,4.85,4.66,1.13,2.72,1.12,5.5,2.5,3.1,7.7,2.73,11.1,6.52,13.0,13.23,9.51,11.2,13.29,11.14,10.37,10.75,11.69,13.3,11.1,6.92,11.37,2.87,2.31
4,11:39:00,,,9.1,8.03,10.52,5.62,8.26,7.48,,1.5,7.57,6.47,,13.04,9.11,8.8,9.93,9.28,5.15,1.28,4.68,9.4,9.98,9.37,12.14,12.05,3.26,4.13,2.65,7.83,6.84,9.97,9.86,2.77,11.1,8.3,10.96,10.67,11.97,12.68,12.77,11.33,9.99,10.27,8.44,9.89,9.12,7.49,9.23,4.22,3.24
5,18:22:51,,,8.77,7.16,9.42,10.2,9.22,1.59,,5.75,8.77,3.37,,11.54,10.52,8.08,7.88,7.38,2.18,1.67,3.99,3.95,2.64,8.67,8.49,6.98,2.16,3.1,3.88,5.06,2.0,10.69,10.89,1.76,11.52,11.74,12.13,9.21,11.53,10.7,13.82,11.61,10.37,12.03,8.28,12.47,9.22,10.24,11.0,2.51,2.85
6,22:03:26,,,8.61,7.17,10.78,8.97,4.92,7.1,,4.64,5.54,6.21,,11.14,11.04,8.32,9.59,10.5,7.47,2.22,3.9,9.4,8.18,7.93,9.92,11.43,2.29,4.78,3.54,6.48,7.61,12.19,7.77,2.98,9.72,9.32,12.55,13.16,10.23,14.07,14.16,13.33,10.9,12.31,10.06,11.93,10.72,12.04,11.27,3.47,1.58
7,05:03:37,,,11.33,12.57,,9.36,4.28,7.09,,1.23,9.08,6.52,,12.88,11.5,9.08,10.09,9.99,4.79,,4.79,7.75,5.3,6.79,9.92,11.31,2.84,4.9,3.73,6.74,7.18,9.7,9.71,6.92,10.56,10.86,11.72,10.0,12.39,7.8,10.87,10.27,10.37,11.92,7.89,6.86,3.53,3.85,8.55,4.48,
8,07:42:23,,,8.77,10.0,3.02,5.17,3.81,6.29,,2.07,9.77,2.89,,11.28,3.01,2.51,3.9,6.1,3.42,,2.6,10.86,3.47,3.37,6.03,7.69,1.2,2.86,1.37,8.25,2.93,10.4,10.12,1.49,11.97,12.02,13.6,11.07,12.49,9.44,14.8,12.54,13.58,9.24,9.44,13.02,7.24,4.71,9.12,,4.6
9,17:33:06,,,8.15,10.76,7.06,4.49,8.26,5.15,,1.26,7.39,5.87,,11.28,7.81,5.94,8.52,6.46,3.2,2.8,4.87,4.34,0.73,3.18,9.82,9.54,2.26,1.86,1.8,5.71,5.42,6.27,7.09,7.94,10.2,11.06,11.44,11.9,14.08,10.94,13.37,12.11,11.11,14.33,13.2,14.78,10.72,13.1,12.79,3.1,
