,发车时间,1. 航天桥西,2. 航天桥北,3. 花园桥北,4. 紫竹桥,5. 万寿寺,6. 为公桥,7. 苏州桥南,8. 三义庙,9. 四通桥西,10. 四通桥东,11. 大钟寺,12. 地铁大钟寺站,13. 蓟门桥西,14. 北太平桥西,15. 马甸桥东,16. 安华桥西,17. 安贞桥西,18. 安贞桥东,19. 和平西桥,20. 和平东桥,21. 太阳宫桥,22. 西坝河,23. 静安庄东,24. 三元桥南,25. 亮马桥,26. 白家庄,27. 呼家楼南,28. 大北窑北,29. 大北窑南,30. 双井桥北,31. 双井桥南,32. 潘家园桥北,33. 十里河桥北,34. 十里河桥南,35. 方庄桥东,36. 方庄桥西,37. 刘家窑桥,38. 木樨园桥东,39. 木樨园桥西,40. 洋桥西,41. 草桥,42. 玉泉营桥西,43. 夏家胡同,44. 丽泽桥,45. 西局,46. 六里桥南,47. 六里桥北里,48. 公主坟南,49. 玉渊潭西门,50. 航天桥南,51. 航天桥西
0,06:58:25,,,9.51,13.14,6.02,12.12,,,,13.8,10.68,14.4,,12.74,12.05,8.32,10.51,9.99,6.32,,3.75,5.79,3.47,9.53,7.69,9.47,2.36,9.06,3.85,6.6,4.59,10.55,6.75,2.23,9.84,11.06,9.93,6.65,9.4,8.63,11.09,10.11,9.99,10.11,8.63,9.2,9.65,6.18,7.33,2.01,
1,15:03:01,,,7.9,8.82,5.62,7.63,3.62,5.32,,5.5,4.69,6.56,,12.45,10.32,,10.56,5.47,4.16,2.07,4.9,6.95,3.4,3.05,3.2,2.78,1.57,4.57,1.28,7.3,2.56,12.75,6.47,,10.47,,11.55,14.24,12.39,8.63,14.11,11.23,10.95,11.58,10.3,11.5,10.74,6.33,8.69,1.76,0.24
2,05:30:47,,,10.86,11.64,,5.34,3.21,8.41,,1.81,12.35,6.39,,12.59,13.24,9.08,13.6,9.84,10.0,1.87,8.76,7.24,4.27,7.76,10.1,10.61,2.17,4.6,6.41,4.04,3.1,11.64,9.57,6.68,10.58,11.06,11.07,13.11,12.36,12.68,13.25,11.03,11.94,13.44,11.0,11.96,5.47,7.09,5.9,2.53,1.67
3,08:03:21,,,8.43,5.82,4.81,5.95,,7.28,,2.6,4.99,7.26,,11.78,4.67,5.71,5.34,6.46,3.43,3.1,4.79,6.44,4.12,4.98,7.01,3.92,1.22,1.55,3.41,5.84,6.65,10.25,9.43,1.63,10.83,10.62,11.78,11.28,8.24,13.48,14.5,10.61,10.95,8.98,13.76,9.28,7.38,6.62,10.78,3.47,0.26
4,14:29:23,,,3.05,4.22,9.32,8.66,5.14,4.48,,2.69,4.54,8.04,,10.19,9.64,,6.8,5.38,2.8,1.87,4.79,7.72,4.36,3.18,4.1,4.18,1.68,1.42,1.2,2.35,2.15,8.91,7.09,4.45,10.37,11.06,9.31,10.58,12.24,12.94,14.5,11.62,8.79,6.97,11.69,9.36,6.36,6.24,8.57,2.1,4.91
5,17:42:43,,,7.78,10.76,6.52,4.43,9.26,6.21,,1.25,5.41,5.69,,12.3,8.85,2.94,3.89,6.72,2.8,1.67,3.85,6.13,3.85,2.47,6.44,7.58,1.34,1.4,1.98,4.31,2.28,7.65,9.0,5.44,11.23,11.46,8.79,9.81,9.29,9.44,12.42,10.83,10.56,13.28,11.28,12.78,10.41,10.62,10.95,3.23,
6,21:18:00,,,8.43,10.31,6.94,9.18,3.79,6.13,,1.51,5.54,3.32,,10.3,10.82,,11.08,9.84,2.17,,4.9,6.79,3.27,,,,4.19,2.39,5.82,5.66,2.61,8.55,10.4,3.97,10.12,8.01,11.2,12.74,10.23,9.49,12.33,11.05,10.17,12.29,12.9,9.52,9.68,12.02,11.25,4.34,
7,05:02:31,,,11.27,12.57,,3.74,3.13,8.5,,5.5,9.77,6.52,,12.3,11.85,,11.9,10.17,3.2,1.67,8.37,10.86,2.6,10.66,10.9,11.37,2.13,4.24,4.25,9.25,5.42,10.25,10.89,,12.72,,11.88,12.62,10.6,12.94,14.2,13.14,10.37,13.53,13.56,11.5,5.04,5.33,9.36,5.82,
8,07:42:19,,,9.4,6.27,3.53,6.66,4.61,5.75,,2.07,9.12,5.0,,11.54,3.83,5.08,4.18,6.32,2.5,1.67,5.14,,4.55,5.45,7.47,8.89,1.74,2.86,1.94,7.92,7.46,11.11,11.25,2.12,12.53,,11.33,10.82,,11.2,13.25,12.25,7.92,9.0,13.68,9.67,10.41,9.62,6.93,2.0,0.39
9,17:26:51,,,8.9,10.48,5.92,5.61,6.92,4.03,,2.09,5.41,4.84,,10.54,4.71,2.35,5.65,4.22,3.73,,4.44,7.24,2.63,6.5,5.05,1.79,1.36,0.77,1.63,4.62,4.22,7.23,9.71,6.42,12.3,,13.05,12.16,12.39,12.94,14.8,12.34,11.15,14.09,6.98,13.0,15.49,11.53,13.8,2.66,
