,发车时间,1. 航天桥西,2. 航天桥北,3. 花园桥北,4. 紫竹桥,5. 万寿寺,6. 为公桥,7. 苏州桥南,8. 三义庙,9. 四通桥西,10. 四通桥东,11. 大钟寺,12. 地铁大钟寺站,13. 蓟门桥西,14. 北太平桥西,15. 马甸桥东,16. 安华桥西,17. 安贞桥西,18. 安贞桥东,19. 和平西桥,20. 和平东桥,21. 太阳宫桥,22. 西坝河,23. 静安庄东,24. 三元桥南,25. 亮马桥,26. 白家庄,27. 呼家楼南,28. 大北窑北,29. 大北窑南,30. 双井桥北,31. 双井桥南,32. 潘家园桥北,33. 十里河桥北,34. 十里河桥南,35. 方庄桥东,36. 方庄桥西,37. 刘家窑桥,38. 木樨园桥东,39. 木樨园桥西,40. 洋桥西,41. 草桥,42. 玉泉营桥西,43. 夏家胡同,44. 丽泽桥,45. 西局,46. 六里桥南,47. 六里桥北里,48. 公主坟南,49. 玉渊潭西门,50. 航天桥南,51. 航天桥西
0,07:31:18,,,8.32,4.89,4.76,7.42,,14.72,,11.6,12.84,,,12.3,6.52,4.15,4.26,6.46,2.35,,5.02,9.92,5.03,2.76,6.66,11.49,2.45,6.21,2.96,3.92,8.04,10.25,12.95,2.27,7.68,9.54,8.79,8.33,8.24,8.29,12.42,11.8,9.34,9.6,12.66,12.47,9.79,3.88,5.39,3.88,
1,17:38:31,,,8.87,,7.54,4.46,3.66,6.44,,2.88,4.99,3.67,,11.0,8.6,5.08,4.78,5.27,2.78,,3.75,8.17,2.27,8.48,7.28,5.59,1.87,3.34,1.02,3.49,4.22,7.33,,,,12.02,11.55,12.98,13.64,11.7,14.11,10.86,11.72,11.63,11.28,13.89,10.09,12.65,12.02,2.18,2.75
2,05:02:59,,,10.0,,,10.16,7.82,10.0,,3.9,14.37,4.78,,12.03,13.03,7.84,10.28,11.34,11.78,1.48,7.52,8.46,7.15,9.21,10.62,12.62,4.2,11.68,4.17,6.67,3.76,8.87,11.05,1.78,12.53,8.58,12.87,12.74,12.17,14.46,11.87,13.08,13.84,11.59,12.1,13.54,8.79,8.14,10.58,3.06,
3,07:42:16,,,7.11,4.1,5.41,8.24,4.77,4.68,,1.99,5.9,4.05,,9.62,4.25,3.53,8.89,9.56,2.21,,2.92,3.45,1.96,6.79,7.36,9.82,2.31,2.24,1.4,6.34,3.61,11.47,14.62,2.23,13.18,10.86,,13.23,11.53,10.94,12.93,14.41,12.6,8.71,13.15,12.27,9.39,6.19,9.02,2.6,0.52
4,17:32:48,,,8.71,12.04,7.93,5.14,8.72,5.32,,1.2,3.93,6.56,,13.18,8.22,5.38,5.99,6.72,2.45,,3.9,8.92,3.13,3.9,5.51,7.78,2.26,1.75,1.43,1.57,3.52,7.23,8.86,1.92,12.96,9.08,10.96,12.86,12.68,10.12,13.38,11.23,10.95,12.89,11.51,12.47,11.06,11.11,11.46,4.34,
5,21:05:06,,,10.02,11.28,7.77,5.01,4.01,8.05,,5.04,7.21,4.15,,11.54,11.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,05:23:31,,,9.82,11.61,10.96,7.35,4.59,7.28,,6.32,9.47,5.53,,11.0,10.42,8.32,9.41,8.79,3.03,,5.99,7.62,6.59,6.92,11.85,11.67,2.07,2.65,4.47,5.0,2.69,9.84,10.72,,10.37,11.46,12.55,12.03,10.99,13.22,12.51,11.52,10.37,12.48,8.8,9.86,4.79,6.21,5.98,3.1,
7,08:04:34,,,7.49,7.74,7.51,8.58,2.66,5.0,,1.72,7.57,3.27,,11.78,4.98,,,,3.16,,1.84,,7.15,3.8,8.69,9.17,1.65,2.0,3.3,4.5,3.23,9.27,12.0,8.18,8.88,,13.24,11.9,11.53,9.96,11.43,10.19,10.95,8.82,10.52,11.64,9.55,6.09,9.39,2.21,0.64
8,14:29:31,,,8.41,9.87,11.6,12.64,6.47,6.89,,2.75,8.05,5.54,,10.85,10.93,8.56,9.93,9.84,2.24,2.8,6.11,7.91,4.12,5.33,4.95,4.69,1.83,3.1,3.45,6.42,3.23,10.55,8.72,3.36,8.81,10.14,11.33,9.21,12.08,10.7,12.85,12.25,9.99,6.45,10.52,8.87,10.26,8.34,12.55,2.01,1.08
9,17:44:25,,,10.39,,8.5,7.42,2.77,2.87,,1.95,3.61,4.78,,12.3,7.89,6.05,4.03,6.84,1.95,,3.75,8.18,3.4,7.03,7.69,8.28,2.13,3.03,0.44,6.25,2.28,10.1,9.97,1.34,12.15,11.46,10.84,10.19,9.51,8.45,12.17,12.3,12.45,11.78,12.1,13.3,10.9,11.02,12.04,6.61,
