,Time,Bus_No,Station_No,Next_station,Remain_distance,Total_distance
0,07:46:23,26701,45,西局,335,43483
1,07:46:48,26701,45,西局,73,43745
2,07:47:09,26701,45,西局,0,43818
3,07:47:33,26701,46,六里桥南,598,44264
4,07:47:58,26701,46,六里桥南,410,44452
5,07:48:23,26701,46,六里桥南,245,44617
6,07:48:46,26701,46,六里桥南,0,44862
7,07:50:23,26701,47,六里桥北里,919,45248
8,07:50:48,26701,47,六里桥北里,817,45350
9,07:51:13,26701,47,六里桥北里,706,45461
10,07:51:38,26701,47,六里桥北里,657,45510
11,07:52:03,26701,47,六里桥北里,602,45565
12,07:52:28,26701,47,六里桥北里,554,45613
13,07:52:53,26701,47,六里桥北里,447,45720
14,07:53:16,26701,47,六里桥北里,254,45913
15,07:53:38,26701,47,六里桥北里,124,46043
16,07:54:03,26701,47,六里桥北里,90,46077
17,07:54:28,26701,47,六里桥北里,0,46167
18,07:56:03,26701,48,公主坟南,1099,46780
19,07:56:24,26701,48,公主坟南,1086,46793
20,07:56:48,26701,48,公主坟南,989,46890
21,07:57:13,26701,48,公主坟南,923,46956
22,07:57:38,26701,48,公主坟南,825,47054
23,07:58:01,26701,48,公主坟南,749,47130
24,07:58:22,26701,48,公主坟南,646,47233
25,07:58:43,26701,48,公主坟南,462,47417
26,07:59:05,26701,48,公主坟南,313,47566
27,07:59:26,26701,48,公主坟南,213,47666
28,07:59:47,26701,48,公主坟南,150,47729
29,08:00:08,26701,48,公主坟南,123,47756
30,08:00:31,26701,48,公主坟南,39,47840
31,08:01:18,26701,48,公主坟南,0,47879
32,08:01:39,26701,49,玉渊潭西门,1544,46756
33,08:02:03,26701,49,玉渊潭西门,1408,46892
34,08:02:28,26701,49,玉渊潭西门,1345,46955
35,08:02:50,26701,49,玉渊潭西门,1256,47044
36,08:03:13,26701,49,玉渊潭西门,1173,47127
37,08:03:34,26701,49,玉渊潭西门,1101,47199
38,08:03:58,26701,49,玉渊潭西门,998,47302
39,08:04:21,26701,49,玉渊潭西门,920,47380
40,08:04:42,26701,49,玉渊潭西门,848,47452
41,08:05:03,26701,49,玉渊潭西门,789,47511
42,08:05:49,26701,49,玉渊潭西门,546,47754
43,08:06:13,26701,49,玉渊潭西门,312,47988
44,08:06:35,26701,49,玉渊潭西门,31,48269
45,08:06:58,26701,50,航天桥南,236,48564
46,08:07:23,26701,50,航天桥南,93,48707
47,08:07:44,26701,51,航天桥西,401,48599
48,08:08:06,26701,2,航天桥北,166,1327
49,08:08:28,26701,2,航天桥北,29,1464
50,08:08:50,26701,3,花园桥北,846,1344
51,08:09:13,26701,3,花园桥北,623,1567
52,08:09:38,26701,3,花园桥北,394,1796
53,08:10:01,26701,3,花园桥北,159,2031
54,08:10:23,26701,3,花园桥北,0,2190
55,08:11:13,26701,4,紫竹桥,511,2314
56,08:11:37,26701,4,紫竹桥,474,2351
57,08:11:58,26701,4,紫竹桥,425,2400
58,08:12:22,26701,4,紫竹桥,290,2535
59,08:12:43,26701,4,紫竹桥,0,2825
60,08:14:14,26701,5,万寿寺,514,3153
61,08:14:36,26701,5,万寿寺,277,3390
62,08:14:58,26701,5,万寿寺,118,3549
63,08:15:22,26701,5,万寿寺,0,3667
64,08:16:08,26701,6,为公桥,581,3653
65,08:16:33,26701,6,为公桥,427,3807
66,08:16:58,26701,6,为公桥,160,4074
67,08:17:23,26701,7,苏州桥南,381,4593
68,08:17:48,26701,7,苏州桥南,0,4974
69,08:18:13,26701,8,三义庙,395,4932
70,08:18:38,26701,8,三义庙,36,5291
71,08:19:03,26701,9,四通桥西,38,5841
72,08:19:28,26701,10,四通桥东,241,6890
73,08:19:53,26701,11,大钟寺,1147,6600
74,08:20:18,26701,11,大钟寺,816,6931
75,08:20:43,26701,11,大钟寺,478,7269
76,08:21:08,26701,11,大钟寺,147,7600
77,08:21:33,26701,12,地铁大钟寺站,402,7708
78,08:21:58,26701,12,地铁大钟寺站,40,8070
79,08:22:23,26701,13,蓟门桥西,0,9534
80,08:23:13,26701,14,北太平桥西,1216,9811
81,08:23:38,26701,14,北太平桥西,952,10075
82,08:24:03,26701,14,北太平桥西,644,10383
83,08:24:28,26701,14,北太平桥西,515,10512
84,08:26:13,26701,14,北太平桥西,0,11027
85,08:26:38,26701,15,马甸桥东,1260,10351
86,08:27:03,26701,15,马甸桥东,978,10633
87,08:27:28,26701,15,马甸桥东,860,10751
88,08:27:53,26701,15,马甸桥东,819,10792
89,08:28:18,26701,15,马甸桥东,792,10819
90,08:28:43,26701,15,马甸桥东,765,10846
91,08:29:08,26701,15,马甸桥东,704,10907
92,08:29:33,26701,15,马甸桥东,628,10983
93,08:29:58,26701,15,马甸桥东,424,11187
94,08:30:23,26701,15,马甸桥东,376,11235
95,08:30:48,26701,15,马甸桥东,307,11304
96,08:31:13,26701,15,马甸桥东,241,11370
97,08:31:38,26701,15,马甸桥东,59,11552
98,08:32:03,26701,15,马甸桥东,0,11611
99,08:35:23,26701,16,安华桥西,477,12052
100,08:35:48,26701,16,安华桥西,223,12306
101,08:36:13,26701,16,安华桥西,110,12419
102,08:36:38,26701,16,安华桥西,0,12529
103,08:37:03,26701,17,安贞桥西,779,12615
104,08:37:28,26701,17,安贞桥西,706,12688
105,08:37:53,26701,17,安贞桥西,624,12770
106,08:38:18,26701,17,安贞桥西,554,12840
107,08:38:43,26701,17,安贞桥西,486,12908
108,08:39:08,26701,17,安贞桥西,399,12995
109,08:39:33,26701,17,安贞桥西,169,13225
110,08:39:58,26701,17,安贞桥西,0,13394
111,08:40:48,26701,18,安贞桥东,632,13497
112,08:41:13,26701,18,安贞桥东,497,13632
113,08:41:38,26701,18,安贞桥东,257,13872
114,08:42:03,26701,18,安贞桥东,106,14023
115,08:42:28,26701,18,安贞桥东,0,14129
116,08:43:43,26701,19,和平西桥,460,13934
117,08:44:08,26701,19,和平西桥,239,14155
118,08:44:33,26701,19,和平西桥,186,14208
119,08:44:58,26701,19,和平西桥,0,14394
120,08:46:38,26701,20,和平东桥,14,15145
121,08:47:03,26701,20,和平东桥,0,15159
122,08:47:53,26701,21,太阳宫桥,628,15246
123,08:48:18,26701,21,太阳宫桥,475,15399
124,08:48:43,26701,21,太阳宫桥,272,15602
125,08:49:08,26701,21,太阳宫桥,78,15796
126,08:49:33,26701,21,太阳宫桥,51,15823
127,08:49:58,26701,21,太阳宫桥,25,15849
128,08:50:23,26701,21,太阳宫桥,12,15862
129,08:51:13,26701,21,太阳宫桥,0,15874
130,08:53:18,26701,22,西坝河,434,16573
131,08:53:43,26701,22,西坝河,142,16865
132,08:54:08,26701,22,西坝河,14,16993
133,08:54:58,26701,22,西坝河,0,17007
134,08:55:23,26701,23,静安庄东,854,16978
135,08:55:48,26701,23,静安庄东,530,17302
136,08:56:13,26701,23,静安庄东,313,17519
137,08:57:28,26701,23,静安庄东,59,17773
138,08:57:53,26701,23,静安庄东,0,17832
139,08:59:33,26701,24,三元桥南,490,18814
140,08:59:58,26701,24,三元桥南,298,19006
141,09:00:23,26701,24,三元桥南,224,19080
142,09:00:48,26701,24,三元桥南,148,19156
143,09:01:13,26701,24,三元桥南,44,19260
144,09:01:38,26701,24,三元桥南,0,19304
145,09:02:28,26701,25,亮马桥,1333,19845
146,09:02:53,26701,25,亮马桥,1092,20086
147,09:03:18,26701,25,亮马桥,820,20358
148,09:03:43,26701,25,亮马桥,665,20513
149,09:04:08,26701,25,亮马桥,454,20724
150,09:04:33,26701,25,亮马桥,120,21058
151,09:04:58,26701,25,亮马桥,0,21178
152,09:05:48,26701,26,白家庄,1525,20709
