,Time,Bus_No,Station_No,Next_station,Remain_distance,Total_distance
0,06:38:49,26701,44,丽泽桥,780,42235
1,06:40:49,26701,45,西局,492,43326
2,06:41:14,26701,45,西局,205,43613
3,06:41:39,26701,45,西局,0,43818
4,06:42:01,26701,46,六里桥南,464,44398
5,06:42:24,26701,46,六里桥南,259,44603
6,06:42:47,26701,46,六里桥南,0,44862
7,06:44:41,26701,47,六里桥北里,907,45260
8,06:45:02,26701,47,六里桥北里,817,45350
9,06:45:24,26701,47,六里桥北里,740,45427
10,06:45:49,26701,47,六里桥北里,643,45524
11,06:46:12,26701,47,六里桥北里,577,45590
12,06:46:34,26701,47,六里桥北里,447,45720
13,06:46:55,26701,47,六里桥北里,254,45913
14,06:47:19,26701,47,六里桥北里,0,46167
15,06:48:27,26701,48,公主坟南,1179,46700
16,06:48:49,26701,48,公主坟南,1113,46766
17,06:49:14,26701,48,公主坟南,1031,46848
18,06:49:39,26701,48,公主坟南,910,46969
19,06:50:04,26701,48,公主坟南,797,47082
20,06:50:29,26701,48,公主坟南,671,47208
21,06:50:51,26701,48,公主坟南,558,47321
22,06:51:14,26701,48,公主坟南,433,47446
23,06:51:36,26701,48,公主坟南,302,47577
24,06:51:59,26701,48,公主坟南,150,47729
25,06:52:22,26701,48,公主坟南,0,47879
26,06:53:29,26701,49,玉渊潭西门,1450,46850
27,06:53:52,26701,49,玉渊潭西门,1345,46955
28,06:54:14,26701,49,玉渊潭西门,1141,47159
29,06:54:39,26701,49,玉渊潭西门,877,47423
30,06:55:00,26701,49,玉渊潭西门,710,47590
31,06:55:24,26701,49,玉渊潭西门,533,47767
32,06:55:49,26701,49,玉渊潭西门,299,48001
33,06:56:10,26701,49,玉渊潭西门,167,48133
34,06:56:32,26701,49,玉渊潭西门,31,48269
35,06:56:53,26701,49,玉渊潭西门,0,48300
36,06:57:14,26701,50,航天桥南,250,48550
37,06:57:36,26701,50,航天桥南,122,48678
38,06:57:58,26701,50,航天桥南,0,48800
39,06:58:19,26701,2,航天桥北,343,1150
40,06:58:44,26701,2,航天桥北,102,1391
41,06:59:08,26701,3,花园桥北,856,1334
42,06:59:29,26701,3,花园桥北,638,1552
43,06:59:54,26701,3,花园桥北,381,1809
44,07:00:19,26701,3,花园桥北,57,2133
45,07:00:44,26701,3,花园桥北,0,2190
46,07:01:06,26701,4,紫竹桥,498,2327
47,07:01:29,26701,4,紫竹桥,330,2495
48,07:01:54,26701,4,紫竹桥,0,2825
49,07:02:44,26701,5,万寿寺,452,3215
50,07:03:09,26701,5,万寿寺,172,3495
51,07:03:34,26701,5,万寿寺,48,3619
52,07:03:59,26701,5,万寿寺,0,3667
53,07:04:20,26701,6,为公桥,714,3520
54,07:04:44,26701,6,为公桥,510,3724
55,07:05:09,26701,6,为公桥,319,3915
