,发车时间,1. 航天桥西,2. 航天桥北,3. 花园桥北,4. 紫竹桥,5. 万寿寺,6. 为公桥,7. 苏州桥南,8. 三义庙,9. 四通桥西,10. 四通桥东,11. 大钟寺,12. 地铁大钟寺站,13. 蓟门桥西,14. 北太平桥西,15. 马甸桥东,16. 安华桥西,17. 安贞桥西,18. 安贞桥东,19. 和平西桥,20. 和平东桥,21. 太阳宫桥,22. 西坝河,23. 静安庄东,24. 三元桥南,25. 亮马桥,26. 白家庄,27. 呼家楼南,28. 大北窑北,29. 大北窑南,30. 双井桥北,31. 双井桥南,32. 潘家园桥北,33. 十里河桥北,34. 十里河桥南,35. 方庄桥东,36. 方庄桥西,37. 刘家窑桥,38. 木樨园桥东,39. 木樨园桥西,40. 洋桥西,41. 草桥,42. 玉泉营桥西,43. 夏家胡同,44. 丽泽桥,45. 西局,46. 六里桥南,47. 六里桥北里,48. 公主坟南,49. 玉渊潭西门,50. 航天桥南,51. 航天桥西
93,07:15:42,,,9.72,4.75,4.87,7.46,,12.36,,,9.39,,,9.53,5.96,5.23,3.96,8.19,4.0,,6.13,7.75,2.54,7.82,7.77,10.38,1.73,2.29,3.81,8.09,2.09,10.4,10.82,1.87,8.8,7.78,11.5,8.94,11.17,8.63,12.09,11.14,10.76,9.05,8.54,6.37,5.03,3.44,5.01,3.23,0.35
94,16:56:17,,,9.51,12.31,6.26,9.66,5.11,6.18,,1.12,6.42,,,11.14,11.92,5.94,4.58,7.49,4.59,1.4,3.67,5.93,3.03,5.32,7.65,7.0,1.64,0.24,0.8,4.95,4.45,7.13,8.86,3.97,9.72,9.78,10.46,12.26,11.17,14.46,12.33,12.04,14.12,11.92,10.76,11.5,12.12,10.0,12.63,3.99,
95,07:35:37,,,9.41,4.3,6.09,11.14,3.91,4.53,,1.92,8.87,6.56,,10.85,4.37,4.67,4.18,10.13,4.87,2.5,4.9,7.62,2.85,8.29,8.96,9.7,3.43,3.27,2.27,5.06,5.56,7.65,8.58,2.86,8.81,8.01,8.04,9.73,9.53,11.94,11.6,10.47,9.79,8.89,7.71,11.93,7.92,5.26,6.16,3.38,1.38
96,17:50:24,,,10.63,,8.46,4.08,8.72,4.84,,2.41,4.28,4.05,,12.03,10.08,3.11,3.81,7.27,3.43,,4.19,7.91,6.05,4.69,2.33,2.18,1.06,2.06,1.52,4.42,2.05,8.79,13.87,,12.15,8.3,13.41,12.03,10.99,11.7,12.09,11.71,12.45,13.85,10.52,13.8,11.04,11.14,11.77,5.82,0.28
97,07:33:09,,,8.01,5.47,9.02,8.62,4.56,5.09,,3.62,6.88,4.22,,10.54,5.17,3.23,3.75,6.23,4.74,,6.28,7.07,3.95,7.11,6.32,10.25,2.52,3.02,4.67,4.23,2.35,10.69,9.86,7.16,8.81,10.62,9.41,8.89,8.38,7.96,10.01,9.47,10.37,8.63,8.07,7.89,8.83,5.6,8.95,3.99,
98,10:34:20,,,9.11,10.65,9.34,5.69,4.35,6.89,,1.83,6.71,2.81,,12.8,10.62,7.06,8.32,8.79,6.87,2.5,5.85,8.68,3.0,6.36,7.9,5.48,1.69,3.41,3.85,5.71,3.23,10.55,12.57,2.12,11.26,9.32,11.72,10.92,13.42,10.94,13.25,10.73,13.58,12.75,11.0,14.78,12.1,7.11,7.96,4.34,
99,14:03:34,,,9.24,11.64,,4.93,2.97,5.9,,6.26,5.41,6.76,,11.43,11.04,9.54,10.27,7.07,7.99,2.8,4.9,7.9,4.1,5.72,4.01,4.17,1.52,3.98,4.17,6.74,4.22,8.67,8.58,2.65,9.72,,12.41,10.29,11.36,11.44,11.52,12.34,10.37,11.02,8.96,8.33,10.72,8.42,11.34,2.6,0.89
100,17:20:44,,,11.78,10.31,7.21,6.28,4.21,6.13,,1.61,4.33,,,12.45,11.17,3.96,4.23,7.17,2.3,2.8,5.02,7.91,3.84,7.15,7.57,7.09,0.39,1.17,1.66,3.11,2.35,9.91,11.81,2.73,12.95,12.02,15.46,11.65,14.91,10.12,14.02,12.04,15.26,12.56,11.18,,12.96,10.82,12.21,6.93,1.04
101,20:39:34,,,10.69,,,7.16,3.97,6.13,,9.72,4.12,6.75,,13.18,10.2,8.32,10.68,10.13,4.16,,6.13,7.43,3.92,6.5,5.33,4.56,2.9,2.34,3.4,4.35,5.13,10.99,11.81,,10.2,10.14,13.24,9.62,13.08,,11.24,11.61,11.53,13.35,11.0,13.54,11.1,10.45,9.55,3.27,2.05
102,08:14:30,,,7.09,6.12,7.29,10.6,4.78,5.61,,3.04,4.75,5.06,,10.98,10.82,7.84,4.88,9.12,6.67,2.22,4.79,5.79,3.63,2.78,5.79,10.01,1.37,2.07,4.36,6.74,2.85,10.55,11.63,2.77,9.96,10.38,12.87,9.3,10.79,9.17,10.87,10.47,13.84,9.04,8.04,8.52,4.75,2.45,4.27,4.48,
