,1. 航天桥西,2. 航天桥北,3. 花园桥北,4. 紫竹桥,5. 万寿寺,6. 为公桥,7. 苏州桥南,8. 三义庙,9. 四通桥西,10. 四通桥东,11. 大钟寺,12. 地铁大钟寺站,13. 蓟门桥西,14. 北太平桥西,15. 马甸桥东,16. 安华桥西,17. 安贞桥西,18. 安贞桥东,19. 和平西桥,20. 和平东桥,21. 太阳宫桥,22. 西坝河,23. 静安庄东,24. 三元桥南,25. 亮马桥,26. 白家庄,27. 呼家楼南,28. 大北窑北,29. 大北窑南,30. 双井桥北,31. 双井桥南,32. 潘家园桥北,33. 十里河桥北,34. 十里河桥南,35. 方庄桥东,36. 方庄桥西,37. 刘家窑桥,38. 木樨园桥东,39. 木樨园桥西,40. 洋桥西,41. 草桥,42. 玉泉营桥西,43. 夏家胡同,44. 丽泽桥,45. 西局,46. 六里桥南,47. 六里桥北里,48. 公主坟南,49. 玉渊潭西门,50. 航天桥南,51. 航天桥西
5.0,0.0,0.0,0.012047718299863536,0.020471444760086308,0.011927312909062208,0.014035831919353231,0.03155006858710562,0.016307893020221786,0.016307893020221786,0.01554726368159204,0.06551362683438156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.5,0.0,0.0,0.019535784429070138,0.03207648979096616,0.02781223271286694,0.04138558599538889,0.019396170509906843,0.01590111680824084,0.020183045896904,0.02320346325884148,0.04693360771554118,0.011622072475154325,0.018371494355156604,0.02597767302262294,0.020142400724200798,0.01580481989972739,0.02017388026341966,0.016772022363307815,0.01224535998713576,0.017516587801285313,0.015262515262515262,0.015262515262515262,0.01599488163787588,0.015262515262515262,0.016801075268817203,0.030525030525030524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,0.0,0.0,0.025532373877539982,0.03530723575579409,0.026299093981938595,0.048957929938518614,0.026812880724562848,0.018865443751006208,0.029055478669083024,0.020139987077451654,0.04003005951683068,0.017839305283662444,0.024246784888023138,0.02997401712044874,0.03003653436818997,0.02137724425985528,0.02546501424728864,0.020038397115383327,0.030750676809513173,0.027034917396436833,0.043777501746739444,0.032842830378016205,0.029321291330411035,0.02602618127373514,0.021476039770495125,0.03956206424074651,0.0406936829649715,0.037693365447473794,0.06259818548081524,0.012415963265031965,0.033602150537634407,0.016801075268817203,0.0178826895565093,0.02944640753828033,0.02944640753828033,0.014723203769140165,0.014723203769140165,0.02944640753828033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.5,0.0,0.0,0.040342736523715804,0.04935099992187846,0.03568502197041495,0.06445328250489128,0.035697450267525806,0.0298564674441,0.029299112972567307,0.040633599018857686,0.08702060741064853,0.013562118425363945,0.03940202109575234,0.03796333125512454,0.02539041819476932,0.03281252200115462,0.02905673077958425,0.0449498259855007,0.042139515954380986,0.03780393677037112,0.033397047189864276,0.0314234498311056,0.04295927097822244,0.033552137488445245,0.0335395900219705,0.04300483377829844,0.03032482032732481,0.03752941680223438,0.06564369703118833,0.028706997793913103,0.04109793547792361,0.02200375944093444,0.02332459266985853,0.03823414830378802,0.022390738516144214,0.047074563177360834,0.03710449976388045,0.05902988598799163,0.025130438934098148,0.050260877868196295,0.05691563107082506,0.03670035495003713,0.022774786086911497,0.02824858757062147,0.013309134906231096,0.05546311702717693,0.04491725768321513,0.02993744414655943,0.0,0.0,0.0
7.0,0.0,0.0,0.04926936750988176,0.06451950520889886,0.04967261763700112,0.03868164038746693,0.055399408944230094,0.03524943505631939,0.08372642204201954,0.05717119170613258,0.0824300909000273,0.03683459561273298,0.0582102215762392,0.0600458063582961,0.0724947956182156,0.03942176293191066,0.0428306345807701,0.05850607886789261,0.05374802826106784,0.033612054903204146,0.04982224513599895,0.0410776741219776,0.062033491200157866,0.029242656371179263,0.04683217998393565,0.03643557399994238,0.030134831995314592,0.049851474711038464,0.03777110802867726,0.016364592604579658,0.0399854887073258,0.03471759172256134,0.04231239459959218,0.06927740469407136,0.029566208433905544,0.03219833636251747,0.042402281390135355,0.04332713087095266,0.038308608757140435,0.042139869996054874,0.03984079039523445,0.041020352794290386,0.08191290646521059,0.04632752233382036,0.024783220439214635,0.049637288310940025,0.03361934892744876,0.014450867052023121,0.027841693951526376,0.0,0.0
7.5,0.0,0.0,0.07684591635749327,0.11563489653705344,0.07461392065451733,0.07391454719268074,0.08923391422581138,0.04574241366179557,0.03270268100165346,0.06603372811969545,0.11410349607849811,0.032676246143508926,0.06784670848588147,0.08789521601291862,0.08974398998159695,0.05423030352389693,0.06715286272524264,0.052709779976417154,0.05375531779625315,0.04573217351007722,0.07776546311894374,0.08463046627829847,0.07195498109395655,0.06320139520908356,0.04690375860396995,0.061588609646546826,0.04337164968354878,0.05568535752004313,0.0855457607159324,0.03320665339029137,0.045018829666372245,0.053116583589672715,0.03161422037934342,0.04691520279784651,0.030966034072118814,0.041246834328742266,0.03486242439730811,0.027156222050054205,0.025025548991749542,0.024507865760876074,0.026353128460686603,0.01989250984946824,0.05608882521489971,0.030676707883814398,0.035824704063697775,0.04760962853853994,0.06664717501836255,0.028989125371917304,0.005904934210112109,0.0,0.0
8.0,0.0,0.0,0.038171021194984604,0.053097607710414586,0.0582419388828962,0.0614939112919527,0.04758560518512289,0.06510015743987345,0.046599346753070724,0.059073562737280316,0.09873190116658825,0.029369297000313294,0.06497413479460613,0.0760282343379332,0.05952376813332614,0.042287756300992185,0.06537366610149996,0.03763842075485277,0.0571193664099331,0.08276096720993519,0.09057010181896728,0.06544440295745103,0.08578005359473712,0.05304976307034547,0.08328581265471063,0.10257517011902977,0.040484050159282414,0.0771361834250784,0.070589664259383,0.06891536892245843,0.04262666286876778,0.027031758519916748,0.043483291654915955,0.0634382196369541,0.07485030501433391,0.043545137119115396,0.04567224620296998,0.05975153400811587,0.0433856539852057,0.04236643594975132,0.03273017025740337,0.060328632453388785,0.06499885483560351,0.03623626941197463,0.05700849905661628,0.07975934185979848,0.04229775199644383,0.018259844756708686,0.014246621349946309,0.0,0.0
8.5,0.0,0.0,0.0282531401523158,0.024142401355496043,0.03736468050003173,0.07688467642759428,0.06375238648339264,0.03973629052020863,0.04328954093391435,0.05184911460870695,0.13478953965310694,0.03704807612966993,0.05533672026358794,0.058072699593391654,0.09458912972627558,0.040139087165125834,0.054046091740507306,0.05491379566522112,0.06605745134933406,0.04917716988527954,0.09126734068482067,0.08185004921420708,0.08234125104138369,0.046015212594638595,0.05191841196335393,0.08514021477666307,0.03485380281242318,0.04541470112104315,0.06944886893813994,0.025494220505078522,0.024935796064276403,0.03932338467513364,0.04739329980487537,0.08774250440917107,0.050045030387772325,0.062287473577796154,0.0738420589212008,0.049780334896385094,0.04376037329571445,0.0549955940638259,0.05587931781356479,0.057265337122089095,0.0471736220860808,0.04920090104836441,0.048418165272967974,0.06355365326246136,0.09444030106357824,0.07564009300564019,0.030001015321610036,0.0,0.0
9.0,0.0,0.0,0.025231003912407027,0.028771120203775324,0.01584688163752106,0.03490949329138786,0.029769762761367613,0.023241579199711246,0.01884328918684914,0.05260449333397662,0.06120671163857469,0.012080782593289228,0.04694334800545837,0.04694334800545837,0.04387027159499135,0.03273547705561475,0.038641861048699315,0.046192909633198366,0.06608361865802607,0.05765958111522157,0.08458663843279228,0.06132787807725774,0.08231716496807645,0.057722618820598155,0.04603095120201259,0.056015802115121895,0.03435280819376494,0.08529598664910755,0.14110507385709714,0.03422378868781304,0.05967429946039841,0.06145312673774909,0.030947650161944413,0.043281957089146623,0.03199994908585307,0.034307708523811355,0.029021974470551843,0.04662183094585425,0.03324991098856513,0.0316051446064444,0.07692349252041165,0.08868952684742158,0.09479816472290027,0.04486036838978016,0.03661062378167641,0.0629598265667962,0.06590354856016836,0.036063227188136156,0.018917426691649485,0.0,0.0
9.5,0.0,0.0,0.02200375876846465,0.02839824016493366,0.018747061777538498,0.03279606782052583,0.027009698521576236,0.018683941494142448,0.02678863786873612,0.02990436226556849,0.06268951176604645,0.015443327317186062,0.033335134314743047,0.030519701051345178,0.027513999748072827,0.014603063321024132,0.0211833603531915,0.015414459986728309,0.035850503212644325,0.03907410326274026,0.05313475981345717,0.04326887674309196,0.06085079388231821,0.03172229965487162,0.04093933414288605,0.10758640837117746,0.06141321604711711,0.08433502568863022,0.1659450892095954,0.04741040907440117,0.03292387811204975,0.0331469504428026,0.03072684907253719,0.04153640513799633,0.05493981050801918,0.02520409709522002,0.043808734228808904,0.05512610174466428,0.02809649373090436,0.044190484802620535,0.024865674090480294,0.03327955437236193,0.03683224286584084,0.08322147964753397,0.07317305894262992,0.08057149519900952,0.06614848568688314,0.07365687519134388,0.03877782878326696,0.0,0.0
