,1. 航天桥西,2. 航天桥北,3. 花园桥北,4. 紫竹桥,5. 万寿寺,6. 为公桥,7. 苏州桥南,8. 三义庙,9. 四通桥西,10. 四通桥东,11. 大钟寺,12. 地铁大钟寺站,13. 蓟门桥西,14. 北太平桥西,15. 马甸桥东,16. 安华桥西,17. 安贞桥西,18. 安贞桥东,19. 和平西桥,20. 和平东桥,21. 太阳宫桥,22. 西坝河,23. 静安庄东,24. 三元桥南,25. 亮马桥,26. 白家庄,27. 呼家楼南,28. 大北窑北,29. 大北窑南,30. 双井桥北,31. 双井桥南,32. 潘家园桥北,33. 十里河桥北,34. 十里河桥南,35. 方庄桥东,36. 方庄桥西,37. 刘家窑桥,38. 木樨园桥东,39. 木樨园桥西,40. 洋桥西,41. 草桥,42. 玉泉营桥西,43. 夏家胡同,44. 丽泽桥,45. 西局,46. 六里桥南,47. 六里桥北里,48. 公主坟南,49. 玉渊潭西门,50. 航天桥南,51. 航天桥西
12.5,0,0,0.018326582,0.022844183,0.011956863,0.028254587,0.022012493,0.016646533,0.011249297,0.0221049,0.051303718,0.007760103,0.016406806,0.026095838,0.029928509,0.014777203,0.023658547,0.023658547,0.018746392,0.036294585,0.023787364,0.025197748,0.03240602,0.020162453,0.016818604,0.020213744,0.021562405,0.034609166,0.063640574,0.025523441,0.036733609,0.024397324,0.033192285,0.057734527,0.036646021,0.043325135,0.037406091,0.036882158,0.036077376,0.03619149,0.031183494,0.025685854,0.036800253,0.033025919,0.025390871,0.020900893,0.040608979,0.029707257,0.018603564,0,0
13,0,0,0.01197318,0.022774321,0.011572807,0.028998684,0.027126768,0.012852174,0.016901103,0.026596712,0.073439129,0.013689005,0.022434753,0.028074371,0.027703403,0.013851702,0.01820285,0.021506311,0.023320722,0.02720671,0.029596984,0.019368312,0.031917381,0.022055074,0.021705474,0.014515448,0.0249726,0.03777003,0.046984362,0.022225622,0.035099831,0.021941463,0.029897373,0.044467209,0.030109468,0.022702556,0.032107285,0.049833821,0.02054007,0.020524087,0.036606944,0.031850821,0.049648693,0.033477574,0.02771648,0.046241606,0.060060933,0.022921145,0.014187684,0,0
13.5,0,0,0.016904747,0.020567306,0.01484828,0.033679586,0.03581891,0.018096932,0.013134478,0.026893319,0.051016912,0.018813042,0.018192551,0.016526343,0.02425895,0.015979366,0.027106187,0.017013339,0.019839398,0.019115335,0.018066942,0.032090305,0.044238044,0.02353063,0.030432778,0.041502096,0.028886275,0.025922015,0.07764312,0.014722154,0.02193946,0.015909718,0.016223849,0.027433556,0.021916301,0.012924685,0.017721797,0.017909891,0.037189059,0.044498512,0.03342944,0.037614848,0.044330888,0.03124534,0.022941629,0.022933707,0.021509937,0.025069735,0.009667815,0,0
14,0,0,0.018814618,0.021620494,0.010970847,0.025915102,0.022166237,0.02218185,0.014969313,0.017173648,0.057438037,0.007903178,0.013935839,0.020620111,0.015920106,0.016356908,0.016842135,0.021823758,0.046371789,0.05093038,0.052084642,0.035002058,0.044600043,0.03667677,0.025797801,0.024868778,0.023038364,0.019201229,0.033958164,0.023558903,0.013673776,0.020274221,0.013778968,0.05308753,0.026452435,0.026001072,0.026452435,0.025891395,0.023812706,0.024250438,0.028342292,0.01704135,0.028664084,0.015981082,0.019227187,0.021858989,0.025928647,0.023754693,0.00988065,0,0
14.5,0,0,0.037059797,0.018136764,0.014563435,0.044655518,0.021325093,0.011386627,0.016507294,0.028331076,0.045671449,0.008951843,0.015341548,0.022240003,0.022998089,0.011499044,0.025759968,0.019781841,0.028130377,0.023733548,0.023259476,0.01986214,0.050016719,0.02311614,0.016082903,0.046609309,0.032199037,0.027881836,0.051896614,0.029999447,0.030583891,0.021948143,0.040156011,0.037270529,0.022690524,0.011004642,0.01476497,0.017634302,0.013312034,0.013312034,0.00693289,0.022218089,0.025328265,0.023618641,0.01373267,0.028791015,0.026426294,0.019895754,0.0111662,0,0
15,0,0,0.021451254,0.027316238,0.018131536,0.034047953,0.031945836,0.022025523,0.017906825,0.022870823,0.053047014,0.013321153,0.017963737,0.026729535,0.028548099,0.024366472,0.021273014,0.02226855,0.025724733,0.016940197,0.01900855,0.023029907,0.028432548,0.016094799,0.021423017,0.022401434,0.036918242,0.033911787,0.06000915,0.033419115,0.022721214,0.023163942,0.027567325,0.033077459,0.0167854,0.02321274,0.029501205,0.031427846,0.027722931,0.031241539,0.022472438,0.019506035,0.037322674,0.018457606,0.019060379,0.017882139,0.019781275,0.011885636,0.006714334,0,0
15.5,0,0,0.023059529,0.025860213,0.014775842,0.028637404,0.019935692,0.016734618,0.012825622,0.020357646,0.085361391,0.022320946,0.02790217,0.031208175,0.027742849,0.014916551,0.027826657,0.024675017,0.044778839,0.035591109,0.037902513,0.032509915,0.035315873,0.024177295,0.022098044,0.052494168,0.024367035,0.032754459,0.059790957,0.030544609,0.034920021,0.022924073,0.028094861,0.033299168,0.026392549,0.031071526,0.020923644,0.038919864,0.028861078,0.028674373,0.026678965,0.02239256,0.013953699,0.027158339,0.014317738,0.027467193,0.018589855,0.015112678,0.012299738,0,0
16,0,0,0.030341532,0.027028151,0.011749542,0.032849341,0.038742771,0.029005732,0.01789602,0.049772131,0.115337623,0.021177854,0.066538107,0.04863061,0.067256886,0.051212747,0.040731952,0.048659482,0.028422687,0.022054181,0.032923845,0.039145707,0.031674407,0.019666722,0.025722608,0.024902167,0.017349773,0.037427166,0.070589053,0.036073265,0.044771325,0.040448415,0.034647132,0.048420243,0.040938741,0.056888667,0.038307865,0.050034755,0.035609067,0.037948168,0.021054759,0.018274854,0.039006005,0.041465875,0.03244124,0.025739806,0.03151552,0.027525604,0.007187938,0,0
16.5,0,0,0.020850173,0.029917074,0.018981388,0.043165934,0.041578293,0.043443898,0.045925618,0.039548899,0.061735958,0.028108363,0.060987789,0.047171044,0.065265927,0.061849645,0.037261259,0.064855078,0.02900232,0.021043771,0.081326452,0.063873411,0.044891616,0.023274669,0.039965391,0.040991859,0.044147993,0.032756888,0.03729855,0.014592693,0.041888736,0.024646257,0.025520942,0.046790388,0.021714965,0.025188575,0.04662521,0.024593406,0.029977513,0.029977513,0.065468571,0.039955832,0.035720746,0.020129908,0.028763266,0.051446294,0.038239348,0.02146811,0.013719975,0,0
17,0,0,0.041209304,0.040620387,0.034036109,0.055264312,0.059128202,0.03637797,0.041996452,0.050982348,0.119346878,0.022865978,0.044233631,0.081531864,0.066524687,0.032622093,0.045671985,0.046419824,0.045805361,0.039750016,0.039405773,0.014934733,0.066802313,0.063661956,0.115081543,0.029515939,0.053064866,0.053928488,0.081120308,0.020421703,0.030355012,0.03314741,0.037391071,0.059359465,0.032944659,0.02683213,0.022626732,0.030109456,0.035681927,0.024934192,0.03837153,0.022115104,0.025479379,0.014924662,0.014864211,0.030023487,0.0291414,0.017786897,0.010772832,0,0
17.5,0,0,0.025168582,0.047506729,0.027654061,0.051246023,0.052766117,0.02727738,0.040673882,0.050390271,0.085775767,0.038596426,0.068789113,0.053999011,0.047321376,0.047723222,0.04758949,0.042822303,0.074268408,0.032733751,0.051026146,0.057168953,0.062767643,0.074031304,0.0663762,0.039820179,0.043755111,0.117426745,0.03117207,0.138427464,0.037187583,0.022562094,0.052204712,0.065888313,0.032772422,0.058769626,0.059341293,0.045846291,0.04371441,0.056570249,0.026769393,0.028384556,0.024747729,0.028416643,0.023138138,0.029118928,0.021803668,0.015838077,0.011893766,0,0
