,发车时间,1. 航天桥西,2. 航天桥北,3. 花园桥北,4. 紫竹桥,5. 万寿寺,6. 为公桥,7. 苏州桥南,8. 三义庙,9. 四通桥西,10. 四通桥东,11. 大钟寺,12. 地铁大钟寺站,13. 蓟门桥西,14. 北太平桥西,15. 马甸桥东,16. 安华桥西,17. 安贞桥西,18. 安贞桥东,19. 和平西桥,20. 和平东桥,21. 太阳宫桥,22. 西坝河,23. 静安庄东,24. 三元桥南,25. 亮马桥,26. 白家庄,27. 呼家楼南,28. 大北窑北,29. 大北窑南,30. 双井桥北,31. 双井桥南,32. 潘家园桥北,33. 十里河桥北,34. 十里河桥南,35. 方庄桥东,36. 方庄桥西,37. 刘家窑桥,38. 木樨园桥东,39. 木樨园桥西,40. 洋桥西,41. 草桥,42. 玉泉营桥西,43. 夏家胡同,44. 丽泽桥,45. 西局,46. 六里桥南,47. 六里桥北里,48. 公主坟南,49. 玉渊潭西门,50. 航天桥南,51. 航天桥西
0,06:59:08,,,8.92,10.38,6.03,9.65,,13.8,,,12.52,,,12.16,10.62,8.8,10.27,8.04,2.36,,2.92,7.91,5.12,8.29,6.74,11.4,2.31,7.61,2.69,7.3,1.59,12.75,10.89,1.82,11.1,11.74,12.41,11.07,11.36,8.45,14.3,10.47,8.36,12.65,6.72,13.54,8.49,4.88,5.81,2.47,3.76
1,15:02:37,,,10.69,11.28,,9.89,3.97,6.18,,4.48,5.16,4.93,,13.18,9.69,2.94,2.91,6.96,5.87,,4.79,8.92,3.24,6.92,5.79,6.07,1.8,4.02,5.31,6.17,1.76,10.84,12.39,,13.22,9.32,15.46,14.76,13.42,12.68,12.33,11.8,12.27,10.94,10.76,8.76,8.88,7.66,8.74,2.33,0.28
2,08:10:24,,,6.97,7.27,5.72,10.45,6.8,6.57,,2.78,10.56,6.37,,12.59,3.92,4.33,4.11,5.8,7.4,1.48,6.91,7.24,4.46,4.66,6.74,7.84,1.57,5.43,1.09,4.36,1.54,12.36,9.37,7.94,11.37,7.78,9.93,10.29,9.69,,12.33,12.76,10.37,11.52,11.84,7.51,4.65,5.57,9.2,2.42,0.84
3,14:40:32,,,9.75,12.19,8.29,7.73,8.5,5.81,,3.36,4.96,3.88,,12.3,12.6,6.36,4.33,5.9,4.36,1.67,4.79,6.79,3.15,6.5,5.34,4.92,2.66,2.86,2.98,6.96,1.94,7.03,7.88,2.97,10.71,8.04,10.34,11.63,11.93,11.2,14.3,12.8,12.45,6.03,11.0,11.04,9.72,7.36,10.8,1.53,
4,18:10:50,,,10.86,10.53,7.29,10.01,5.96,5.17,,2.9,6.8,2.28,,13.04,12.9,6.23,6.35,8.79,4.79,1.25,6.42,5.7,6.82,7.82,8.33,5.26,1.55,3.02,1.79,4.4,1.97,9.27,8.44,1.33,11.23,11.74,12.14,13.23,9.39,12.94,12.8,12.34,12.45,11.78,13.2,8.76,11.86,10.99,11.8,3.42,
5,21:48:36,,,9.38,,11.19,11.38,2.39,6.13,,1.44,6.34,2.82,,11.66,11.88,8.32,9.59,11.84,4.23,,4.9,8.92,2.78,9.53,10.62,12.3,2.19,2.52,5.59,5.06,3.87,12.75,5.31,3.18,12.3,9.78,10.67,13.83,11.65,14.02,13.92,13.08,14.68,12.65,11.28,12.78,10.72,10.46,12.58,4.48,0.54
6,05:30:00,,,8.39,6.49,9.07,5.74,3.57,7.09,,2.15,5.58,3.8,,10.19,10.72,5.66,11.3,8.43,3.42,,5.99,7.6,3.52,7.76,11.06,11.77,3.1,9.32,4.95,5.91,2.28,8.79,9.57,3.27,11.52,9.32,10.67,12.26,9.18,8.99,12.93,11.23,12.27,10.82,9.84,13.3,4.64,6.18,7.68,2.17,2.08
7,08:22:05,,,11.31,7.45,5.45,8.15,7.73,4.37,,1.34,5.83,4.92,,11.54,5.67,1.94,5.34,5.74,3.12,1.92,5.26,6.79,2.89,4.46,5.45,6.32,1.08,3.73,3.33,4.17,2.0,10.55,12.39,1.83,10.71,6.36,12.41,9.52,13.86,10.7,13.59,10.29,10.95,12.12,8.28,12.47,11.1,6.18,11.03,2.75,
8,11:19:19,,,9.95,10.76,9.73,5.87,3.21,6.18,,0.64,5.22,4.53,,13.87,10.38,6.22,9.76,9.28,2.71,,4.68,5.43,4.54,8.87,11.35,6.95,3.18,2.8,2.66,6.17,2.09,12.93,13.24,2.96,10.3,10.38,10.46,10.58,13.11,10.7,14.7,11.33,13.84,12.44,12.38,9.28,7.92,8.34,10.74,2.75,1.77
9,18:22:34,,,8.5,10.31,10.52,5.31,,6.44,,4.04,8.26,4.4,,10.07,11.5,4.89,5.11,9.43,5.15,,3.59,7.43,3.99,7.03,12.27,5.06,1.97,2.73,1.32,4.95,3.26,8.67,6.54,3.27,7.55,8.58,8.79,8.57,8.74,7.47,9.64,10.67,11.53,10.96,9.04,11.72,9.37,8.76,10.8,6.47,1.24
10,22:03:20,,,8.7,12.26,9.0,7.23,3.49,3.3,,6.96,7.61,5.0,,11.14,10.52,10.76,10.51,9.56,6.49,,7.8,10.18,3.85,11.14,10.9,4.67,1.89,2.82,4.36,4.49,3.23,9.84,10.89,2.55,12.96,,13.41,11.9,10.23,9.8,13.48,12.92,11.33,14.4,15.2,14.04,13.87,13.59,12.35,4.61,
11,06:09:29,,,9.64,11.21,6.78,8.84,6.66,8.89,,5.5,4.82,6.56,,10.54,9.2,9.34,8.32,8.43,6.13,,0.54,6.04,2.54,4.77,8.98,11.88,2.02,4.78,4.57,5.71,2.35,11.11,11.63,2.49,10.71,10.86,13.6,8.33,9.69,9.49,12.95,11.8,10.56,13.28,5.78,9.28,6.72,7.55,11.53,3.33,0.28
12,05:22:20,,,9.13,11.61,,5.94,9.85,8.32,,8.08,5.62,9.84,,10.85,10.72,9.08,9.59,8.96,3.03,1.28,7.52,7.75,3.63,9.05,9.61,12.73,2.76,2.58,7.27,4.95,3.87,9.7,11.05,1.75,10.56,8.3,10.49,10.29,10.6,12.18,11.09,10.37,10.56,9.84,11.0,9.03,4.4,5.5,7.98,3.33,
13,08:04:52,,,7.69,5.13,4.49,6.66,,4.8,3.44,2.46,6.51,2.68,,13.56,4.12,2.59,3.6,7.38,2.3,2.07,6.28,6.79,3.2,5.82,7.77,7.42,1.7,2.34,1.59,2.96,2.93,9.84,12.2,,12.75,10.62,10.84,9.3,10.99,10.94,13.02,11.29,12.09,11.26,12.35,9.52,5.86,5.17,9.44,3.77,1.26
14,14:27:32,,,8.45,11.11,10.15,5.28,5.01,6.06,,2.52,4.47,6.21,,10.07,9.2,7.34,7.73,7.07,3.12,,4.56,6.95,3.4,7.43,5.05,5.26,2.48,2.92,3.3,4.0,7.61,6.73,8.72,8.18,8.73,9.54,11.44,9.62,9.51,11.7,12.33,11.61,12.6,7.35,8.63,10.48,9.39,8.39,9.38,4.48,
15,17:44:00,,,7.08,8.8,4.52,8.09,4.18,5.03,,1.32,7.39,4.68,,9.42,7.76,7.84,5.56,5.06,2.12,,3.99,6.11,5.12,6.91,6.77,4.63,1.45,1.11,1.02,5.06,6.08,6.83,9.86,5.7,10.58,8.3,12.55,11.76,10.41,12.94,12.51,11.33,14.68,13.01,12.38,10.17,12.83,12.08,11.52,4.16,2.5
16,21:18:34,,,12.04,8.57,9.84,8.09,4.34,8.83,,1.86,6.55,2.19,,11.28,10.32,,10.85,8.96,6.87,,6.28,7.6,3.8,10.38,12.01,11.58,3.61,3.34,3.96,5.55,2.85,10.1,9.93,,11.85,,15.24,11.38,12.98,9.35,14.02,11.62,11.53,14.05,9.58,11.04,13.29,11.22,12.79,6.47,2.79
17,05:13:04,,,10.96,12.84,,7.81,3.21,9.08,,2.02,9.39,10.12,,13.96,12.87,6.5,11.08,9.69,8.96,,8.37,11.4,8.24,10.66,,11.67,2.04,9.06,7.61,8.09,3.1,10.25,9.43,,10.83,11.26,11.33,14.43,12.39,14.24,12.59,13.7,16.0,11.16,8.78,9.36,4.49,4.96,6.49,4.16,2.12
18,07:51:36,,,7.15,8.38,4.01,6.2,,6.29,,5.76,9.26,3.28,,12.8,2.98,4.52,4.45,6.59,2.58,,2.33,7.6,1.96,5.09,6.86,8.87,2.89,4.67,2.48,4.54,1.61,10.1,9.29,1.91,10.58,8.04,10.06,10.58,12.08,11.7,12.33,11.42,8.93,9.8,7.33,8.33,6.78,4.42,10.9,6.33,1.18
19,10:45:04,,,8.5,9.03,,9.81,2.82,8.23,,1.82,5.68,2.89,,13.56,13.53,,7.53,7.07,3.83,,5.14,6.13,2.58,5.95,2.74,6.41,1.6,3.19,3.19,7.92,2.09,10.79,11.25,2.72,13.19,9.22,13.16,12.5,9.9,13.48,14.79,12.97,13.14,13.51,12.66,9.02,12.26,12.37,13.9,3.88,1.97
20,17:56:31,,,8.91,,11.42,5.61,3.02,5.49,,2.12,5.97,3.63,,11.14,10.08,3.96,5.11,7.17,3.2,,4.79,5.93,2.2,7.27,4.92,6.66,1.06,2.23,1.45,5.0,5.56,7.76,10.4,2.27,11.63,9.32,12.28,10.96,10.6,10.4,12.51,11.14,14.4,12.52,11.43,9.52,9.79,10.82,11.95,4.27,0.78
21,21:33:50,,,12.91,,,5.94,3.21,6.47,,2.01,9.63,5.01,,11.28,12.23,,10.85,9.99,5.0,,4.79,11.14,3.8,10.1,10.9,12.42,3.06,3.59,3.88,4.4,5.88,10.1,10.72,3.18,12.75,,12.41,10.96,12.68,8.36,12.0,11.71,10.76,12.04,12.94,9.42,11.86,10.14,12.43,4.16,
22,06:02:26,,,8.08,10.31,7.3,6.66,6.66,8.05,,2.08,9.18,5.69,,11.28,11.36,7.8,10.51,8.79,7.83,1.28,4.07,6.08,4.91,6.22,8.79,12.73,3.12,3.35,5.71,4.95,2.69,9.97,10.12,6.42,9.6,7.24,11.33,9.73,10.41,11.2,11.6,10.67,9.41,10.37,9.58,12.5,3.88,7.47,5.37,2.43,1.36
23,08:54:28,,,7.4,,9.05,8.37,3.05,6.18,,2.52,5.68,2.2,,12.59,9.54,4.33,4.11,3.33,2.29,0.77,5.97,7.6,4.61,8.09,5.53,6.6,1.95,2.66,3.33,6.67,3.1,10.99,9.86,2.85,9.99,8.84,10.67,11.18,12.36,10.12,13.59,13.7,10.76,12.9,12.08,12.5,7.79,10.12,11.22,4.16,0.62
24,11:52:19,,,11.09,10.53,10.52,8.66,3.38,5.97,,5.28,6.26,4.92,,10.71,11.38,,10.56,9.99,7.07,2.5,4.19,7.91,3.96,6.37,4.27,6.49,2.39,3.44,4.47,4.44,4.22,10.55,10.12,2.27,10.58,8.58,11.86,10.58,9.53,9.64,10.57,12.25,15.96,11.92,12.66,11.5,1.75,6.75,10.05,6.19,1.24
25,15:33:03,,,8.12,9.44,10.28,6.96,4.53,6.51,,2.46,8.87,6.56,,11.28,11.04,,11.6,6.84,5.99,,3.99,8.68,3.1,7.27,5.99,2.41,1.46,2.24,1.16,5.84,3.81,2.34,4.59,1.91,12.0,8.84,11.74,11.28,11.93,,13.25,11.99,10.37,9.91,5.18,9.2,5.64,8.07,6.89,2.75,
26,18:47:26,,,9.84,11.52,8.16,6.31,5.08,5.97,,1.32,5.28,7.5,,12.88,11.5,5.2,10.68,7.73,3.83,,5.26,8.05,5.61,8.42,11.75,11.4,2.36,2.78,2.83,3.68,4.34,7.87,7.89,6.92,8.55,10.62,10.46,10.58,10.79,11.2,10.43,11.05,12.09,11.02,8.74,9.2,9.83,9.61,10.21,2.49,0.94
27,07:19:32,,,7.11,5.68,5.41,9.24,2.98,4.94,,2.11,7.82,,,11.35,7.73,5.71,4.79,5.27,2.94,,4.09,6.61,8.07,4.36,8.09,10.79,2.9,3.11,3.85,4.11,1.71,10.55,10.4,1.27,7.83,10.86,9.31,9.73,10.41,8.81,10.87,9.79,11.15,10.27,6.21,9.52,6.77,4.14,8.56,3.24,3.16
28,10:23:38,,,10.25,11.64,7.34,7.5,3.46,6.22,,4.82,3.61,3.73,,11.28,9.07,5.55,8.72,7.07,2.06,,5.02,8.92,6.15,5.19,9.14,2.3,1.51,3.19,2.59,7.44,9.98,10.99,10.38,1.98,13.15,,12.28,12.74,12.08,15.58,14.6,13.69,11.72,15.88,10.06,12.72,13.47,12.08,12.83,2.66,0.54
29,14:04:40,,,7.95,8.8,7.21,5.52,7.62,5.61,,1.56,6.51,6.04,,11.78,12.4,,6.39,6.08,4.08,,4.79,9.4,8.18,6.91,5.15,3.9,2.26,2.12,2.3,6.6,6.45,9.84,9.86,3.27,12.13,8.58,13.41,10.0,11.53,9.52,14.02,13.59,11.72,12.67,9.58,12.22,7.7,10.39,12.89,3.45,0.52
30,17:21:12,,,9.49,8.89,5.9,7.46,4.95,3.97,1.56,2.41,6.03,5.0,,13.04,7.2,4.98,7.19,7.07,2.94,1.25,3.67,9.92,6.15,5.45,8.27,8.79,1.48,0.42,1.48,6.0,3.87,7.87,8.86,2.12,12.47,8.04,16.0,12.66,11.77,14.06,15.32,14.17,10.95,14.61,,13.31,11.57,12.96,12.22,6.47,3.24
31,20:42:29,,,9.97,11.8,8.76,4.45,8.35,5.9,,8.08,5.58,6.78,,12.45,10.72,9.34,7.79,11.34,2.82,,4.9,7.6,5.87,9.53,9.46,7.77,1.84,4.57,4.14,3.41,1.82,9.97,7.76,2.98,14.44,,11.88,13.23,10.23,11.7,13.48,14.16,14.4,13.69,14.36,11.04,9.53,12.66,12.56,3.23,0.9
32,07:22:50,,,7.74,5.8,5.09,6.45,7.21,5.57,,1.99,10.06,5.16,,12.59,6.02,4.4,4.58,6.46,4.12,1.87,2.45,5.95,6.33,7.03,7.57,10.01,2.7,3.19,2.98,3.84,,10.4,12.76,7.42,11.37,9.54,12.55,10.38,12.92,6.47,12.09,10.86,9.79,11.7,5.85,8.52,4.15,4.71,9.19,1.41,2.48
33,17:13:20,,,10.39,,7.37,8.61,7.42,3.93,0.98,1.11,4.28,5.69,,14.47,10.62,2.54,4.87,8.31,2.63,2.22,3.67,7.24,6.15,3.4,12.88,9.32,1.77,0.34,0.84,5.29,4.57,7.03,10.12,2.28,12.3,12.02,13.95,15.17,10.99,11.94,14.11,13.94,13.58,14.84,,13.59,14.96,11.31,14.01,2.33,
34,07:08:35,,,8.58,9.88,6.17,5.46,7.62,5.08,,4.45,4.13,4.27,,12.03,8.5,2.46,5.43,7.38,4.0,,4.28,,4.61,5.95,5.66,9.77,2.44,2.86,2.39,3.24,2.28,10.1,10.72,6.42,11.52,9.54,9.79,10.38,9.29,10.12,12.17,11.52,11.53,10.37,10.41,7.97,7.57,4.15,8.82,2.53,0.59
35,10:13:59,,,9.37,,5.29,10.6,4.81,5.0,,3.48,4.13,2.02,,12.45,7.95,4.89,7.32,6.08,4.48,2.8,5.99,8.46,6.65,6.79,10.0,8.02,1.88,1.47,1.96,5.5,2.0,9.56,8.29,3.21,10.42,8.58,11.2,11.18,8.95,13.76,12.25,11.23,9.99,12.75,12.66,11.04,9.57,6.91,10.69,2.42,1.13
36,13:51:24,,,11.14,10.83,10.15,8.4,9.24,5.76,,1.68,9.63,5.06,,11.58,11.64,5.71,5.54,5.74,3.28,2.8,4.68,9.16,3.63,7.6,4.83,6.95,3.16,6.21,2.1,8.0,9.12,10.84,11.44,7.94,9.92,,13.24,12.5,13.74,10.7,15.01,12.01,13.3,12.96,8.96,9.76,10.88,9.81,8.82,2.25,2.76
37,17:07:42,,,8.44,7.96,8.82,6.8,4.21,4.01,,1.73,10.56,4.78,,14.27,11.5,6.78,5.75,7.37,4.0,,6.52,7.07,3.41,3.11,11.46,9.25,1.86,0.32,0.97,3.01,6.65,5.26,5.55,1.63,12.85,,12.56,16.11,,11.2,13.59,15.18,9.34,13.21,13.17,10.89,11.1,11.02,13.97,3.16,
38,20:34:22,,,8.44,10.52,6.02,4.46,3.46,6.89,,1.12,8.45,3.83,,13.76,11.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,07:30:38,,,8.17,6.08,4.71,7.9,4.61,5.9,,5.5,4.93,7.02,,12.45,5.53,3.82,5.54,6.46,1.99,,4.79,7.24,3.63,5.95,5.97,10.08,1.87,3.26,2.46,4.86,,,12.0,,11.37,,10.84,10.49,9.18,12.94,13.82,10.95,9.34,10.54,8.8,7.67,6.62,5.13,9.25,2.64,1.04
40,10:35:10,,,8.43,7.65,11.19,6.38,3.71,5.61,,2.54,7.08,2.59,,11.54,11.11,8.08,9.76,7.27,4.08,1.14,6.57,6.95,2.78,5.95,2.43,5.74,1.43,3.26,3.33,6.81,2.85,10.55,13.15,5.45,11.85,10.86,13.6,9.21,13.64,10.12,13.14,12.92,15.84,13.57,12.94,9.02,12.42,11.98,12.91,2.18,
41,14:16:59,,,8.35,10.16,8.46,11.14,5.35,3.96,,6.96,6.51,3.28,,9.84,9.78,8.08,6.09,7.38,3.28,,5.85,7.91,5.96,4.65,3.78,5.84,2.04,5.43,,4.69,3.18,9.27,6.1,1.7,11.63,8.84,10.67,9.62,13.64,12.18,15.11,11.52,12.45,8.85,11.28,13.8,4.84,10.85,11.7,3.06,1.6
42,17:26:19,,,10.86,12.3,7.09,4.65,3.58,4.61,0.57,2.01,7.39,6.04,,13.96,8.15,6.23,3.26,7.0,4.08,0.86,5.14,5.45,3.2,2.48,7.57,6.79,1.57,0.43,1.06,3.33,2.69,6.93,8.17,2.55,13.22,,16.26,13.11,12.53,9.52,14.3,13.14,12.27,14.52,9.32,10.74,11.86,12.37,12.57,6.2,
43,20:52:41,,,9.14,11.98,7.01,6.6,,6.44,,1.68,5.34,4.65,,11.66,12.34,7.06,7.93,11.34,3.5,,8.17,7.75,8.94,9.8,8.96,6.55,2.2,2.89,4.47,5.55,3.23,8.67,11.81,3.49,11.63,12.02,9.01,11.9,11.17,10.7,11.33,10.86,9.6,10.22,9.17,9.86,10.26,10.56,10.53,4.16,1.33
44,13:15:19,,,8.9,11.91,8.5,5.82,5.43,7.68,,2.2,8.55,4.05,,10.43,8.3,5.23,7.19,10.17,2.72,,4.9,7.24,9.82,8.09,4.85,4.85,1.21,2.06,1.63,4.04,3.99,10.99,11.05,6.42,12.47,8.04,13.6,11.9,10.41,13.76,12.33,10.67,14.68,10.48,8.96,10.89,11.77,10.25,13.03,4.45,
45,16:43:01,,,8.69,9.44,10.31,5.95,7.42,5.9,,1.51,7.49,3.14,,9.96,9.78,6.22,5.54,6.59,2.61,1.36,4.68,5.93,4.88,3.46,2.59,8.62,1.31,0.75,1.15,4.0,5.56,7.33,9.0,,8.73,11.06,9.42,13.11,11.53,9.49,13.71,11.52,12.56,13.68,10.76,13.04,11.29,9.56,12.91,2.33,1.48
46,20:03:24,,,11.12,12.06,6.78,10.57,5.65,8.41,5.0,1.61,8.05,5.87,,12.16,10.82,9.34,10.84,9.56,3.12,,6.13,7.6,7.86,9.21,10.9,12.13,1.79,1.26,4.66,6.44,2.35,9.56,9.15,5.04,10.7,8.3,12.28,12.98,12.28,13.22,13.82,12.21,11.72,11.67,10.06,13.3,12.77,9.9,13.23,2.29,0.59
47,07:29:07,,,7.6,3.99,4.76,9.89,,12.62,,,10.2,13.36,,13.23,5.36,6.05,4.03,6.32,2.94,,3.44,6.61,5.35,5.72,7.62,9.85,2.9,3.03,5.18,4.0,4.45,10.99,9.43,1.94,7.34,7.83,10.2,9.62,10.79,12.68,11.01,9.71,11.15,11.09,5.38,11.96,5.98,3.95,10.13,2.26,1.23
48,15:23:33,,,8.9,8.06,,5.06,6.81,6.67,,1.25,10.06,6.75,,9.96,9.54,,7.06,5.66,4.24,1.28,4.09,6.04,5.85,6.73,5.51,6.79,1.57,2.12,2.48,6.34,3.13,9.56,9.57,8.18,13.22,7.78,9.1,13.23,12.61,9.09,14.4,11.82,12.27,8.51,7.73,12.5,5.36,7.09,8.43,2.69,
