,0,5,10,15,20,25,30,35,40,45,50,55,60,65,70,75,80,85,90,95,100,105,110,115,120,
AtStationControl,218.19631497905698,212.15394648883702,205.67699141267985,198.56483418683678,190.29527038520465,182.71880841709142,174.83303418662376,166.12312667749364,156.9773825927703,150.3259854011727,145.18049241423483,141.42168970757285,137.63515351706528,135.94461381419865,135.66597078275524,135.8798846452267,135.75201898165574,135.77834522154532,135.71612150787143,135.671647514121,135.80570276720363,135.7363292318132,135.7987781435484,135.7153812742653,135.74595226351877,
MinimumHeadway(Baseline_1),218.39834839925527,214.37264220289524,210.30108642145512,205.57240867771398,200.69669798348485,195.82228290722517,190.80318970298737,185.73312206995354,180.901885198473,176.55707535427632,174.2139163097698,171.42340502776293,170.22052417792852,169.64323520453513,169.08602741611918,168.55575362122272,168.16382576091112,168.2715971143221,168.00851243435537,167.64770675711995,167.95745875731544,167.88911896466482,167.96182344965192,167.71841781356264,168.0072717336524,
