,0,1,2,3,4,5,6,7,8,9,10,
NoControl,218.60952152701586,218.4472466356484,218.29627698552386,218.63441848135685,218.025508472935,218.62402911649224,218.62304275530633,219.1468592373602,218.1970964423255,218.72433154351603,218.98336270635636,
AtStationControl,218.7917322786105,191.02830407632086,143.13611058300594,139.30310645559982,138.8050303849599,137.51661678862172,137.0293834718614,137.91628183759647,138.97759909432017,140.16769595180224,141.5292948971771,
InterStationControl,219.0246800957423,149.57628218982606,141.01699952500837,138.45746174453512,137.4470340789311,137.83319923202674,137.80455980252188,138.32056036967555,138.81282639036147,139.3651750111233,139.9534764286966,
JointControl,218.86125008977353,146.8080374525829,139.19102886873804,136.67879253768814,135.86554569411337,136.76715636361905,136.99381963995236,137.72927500572447,138.01861537934477,138.57951085545986,139.51518485085947,
MinimumHeadway(Baseline_1),170.26408644186347,170.00677229925424,170.39931983257594,170.140788917451,170.4984239483252,170.0320379080648,169.9884857096085,170.34819531265595,170.2320846123443,170.12274670565125,170.32981931348505,
QuadraticEberlein(Baseline_2),219.34300513324487,214.41289707770764,212.68719707894365,212.4569293087843,212.90140450165984,213.29485259225316,213.0767847752882,212.6804829610197,212.79871404833176,212.69702304431956,212.1537380714684,
He(Baseline_3),218.1467258553588,218.41012223315522,195.10250570052486,168.23824614063116,151.6005968090895,145.6238993987699,142.31522970750507,141.9508382296088,141.0251243434555,140.74196422580235,140.2055791676516,
