,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
NoControl,0,0.881108064,0.879166955,0.875914434,0.873181582,0.869243459,0.864131186,0.859863949,0.852439137,0.846151028,0.837508547,0.830357956,0.82024615,0.814458486,0.808089941,0.798608803,0.791282804,0.784216536,0.776334108,0.768825191,0.762148501,0.752365432,0.744381387,0.735357901,0.727673773,0.719957441,0.711820869,0.703117612,0.698477,0.688086966,0.680893697,0.671415879,0.666233035,0.658568821,0.649451559,0.643077675,0.63512034,0.627037449,0.621720568,0.615531852,0.607064263,0.601885201,0.594417146,0.586369756,0.581349701,0.574919334,0.567712734,0.560153274,0.55530088,0.548673058
AtStationControl,0,0.890201967,0.894214588,0.892722845,0.890483445,0.889209133,0.887549336,0.884352275,0.88318105,0.883002266,0.878446268,0.876254377,0.875803372,0.875294553,0.871191141,0.871537772,0.86843877,0.866115476,0.865184907,0.864055214,0.860596995,0.859554706,0.858773886,0.855053406,0.854086482,0.850135517,0.849935763,0.846861099,0.843944565,0.844752684,0.840748423,0.840695959,0.838005046,0.836219779,0.833250524,0.833973427,0.829954128,0.827145359,0.826152451,0.824174224,0.822208053,0.820374491,0.820989746,0.817493327,0.815023959,0.814126189,0.813098989,0.809305446,0.808493037,0.806332826
InterStationControl,0,0.880708888,0.879746605,0.880812435,0.879612552,0.88115227,0.878312839,0.876350136,0.874936839,0.874006315,0.872098144,0.871288183,0.869326672,0.867689047,0.865928607,0.864140471,0.861599458,0.860764747,0.857880818,0.857639314,0.856445975,0.855330739,0.851969742,0.850391656,0.848701452,0.847560957,0.846415861,0.843022744,0.842315253,0.841436922,0.838829701,0.836828557,0.835970836,0.834064632,0.831524837,0.829493606,0.828447102,0.828403688,0.825931699,0.823087312,0.8203424,0.820630387,0.818842285,0.817737364,0.813594468,0.812750619,0.810803975,0.809233238,0.807232526,0.806424083
JointControl,0,0.889264792,0.887257797,0.885410153,0.88257801,0.881429071,0.88147879,0.880707902,0.879426856,0.877546672,0.875747637,0.87684579,0.873221029,0.869944125,0.870500099,0.8666997,0.865919295,0.864883769,0.863631592,0.861743392,0.859602815,0.857837367,0.856099869,0.855085465,0.853828342,0.851631613,0.848327925,0.848398801,0.844533556,0.843332929,0.842546901,0.841576835,0.838290135,0.838836874,0.835069881,0.834211665,0.833284153,0.832424214,0.82925488,0.826986406,0.824898154,0.822453644,0.821822487,0.820477337,0.817753796,0.815872757,0.816003993,0.812198417,0.811493979,0.810471195
MinimumHeadway(Baseline_1),0,0.880299364,0.878917022,0.87702235,0.876040412,0.872874867,0.870213477,0.867130342,0.86568159,0.861741671,0.857628457,0.853835751,0.850528456,0.847083517,0.841546747,0.839398956,0.834793622,0.83200578,0.826946363,0.82247045,0.818428992,0.814186022,0.812496989,0.805470674,0.801150169,0.800499606,0.794563105,0.791674722,0.788409345,0.78199914,0.780904525,0.775696179,0.771830191,0.769526323,0.767136191,0.76326009,0.761630021,0.756856674,0.752980646,0.752088149,0.750536081,0.747104986,0.743924886,0.742455592,0.738672543,0.737414645,0.735679404,0.732392999,0.729208989,0.726763932
QuadraticEberlein(Baseline_2),0,0.901899647,0.888025503,0.878976188,0.876474491,0.87313178,0.869460806,0.866018868,0.859901103,0.85415482,0.845762635,0.837867359,0.830911124,0.824370882,0.81614579,0.810198746,0.802044647,0.792704357,0.786602875,0.777864828,0.769229085,0.763797974,0.75624174,0.749890233,0.742057111,0.732003239,0.725109308,0.717789118,0.713072177,0.705157753,0.698560947,0.690479165,0.681392558,0.678334646,0.670832133,0.663713479,0.656807764,0.650194458,0.642729984,0.635255286,0.628994447,0.621956658,0.613179366,0.607032356,0.599244814,0.597695545,0.589328264,0.583118642,0.579454636,0.561916962
He(Baseline_3),0,0.932390005,0.929212669,0.926400069,0.919740815,0.915315233,0.910928177,0.900607823,0.896593247,0.891373257,0.888949254,0.882039406,0.878585801,0.874867906,0.870419358,0.867275776,0.864199427,0.860058299,0.856942192,0.854268512,0.851108444,0.84945216,0.846398707,0.845832296,0.842319521,0.838960624,0.835465203,0.832922331,0.832657862,0.82895341,0.827496089,0.824191005,0.821269447,0.818308826,0.815238103,0.812748282,0.811563744,0.808347922,0.804974397,0.800871406,0.800385152,0.798197038,0.7943551,0.789592243,0.787838927,0.785405678,0.781674017,0.779167176,0.77571426,0.772130451
