,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
NoControl,0,130.9199913,132.2336906,134.291257,136.680856,140.1996198,144.0709637,148.8927878,153.4927064,158.9969246,164.2390369,169.6247973,174.3390743,179.5249567,183.8483515,188.7797905,193.2826738,197.1715248,201.6469337,205.4286323,210.8671691,213.6527782,216.5333526,220.9107968,225.055816,227.7070239,230.846765,233.7108539,238.1725344,240.9195333,244.0624602,246.3665183,248.4049601,252.8513813,252.6968813,255.083474,257.3522039,259.287734,262.6242736,264.3778783,265.1801803,267.3685827,267.4729973,269.9179913,270.3703795,271.1067029,273.2938801,272.5890763,275.9325028,277.6806753
AtStationControl,0,129.8086959,130.6069163,130.7864287,130.8286002,131.4722707,132.4152884,133.1313894,134.3857313,135.7945813,135.8833223,136.0141637,135.867175,137.0342,136.8192608,137.3846562,137.4344634,138.0611446,138.2605309,139.1832262,138.0664613,138.9568772,139.0727964,138.4869147,138.6611688,137.8934757,138.8526412,138.8320601,138.2064734,137.4350856,137.7449802,138.3133899,137.8083602,137.0098101,137.4895511,137.8695065,135.9687908,135.7506509,135.6456434,134.858382,134.9798453,135.0025002,135.2026922,133.9011394,134.6005249,133.9613811,133.796057,133.4263456,134.155967,133.7150463
InterStationControl,0,130.7819188,130.8836199,131.6405164,132.1105351,132.3825933,133.0883518,133.8475078,134.7143633,135.4036375,135.726222,136.4566784,137.1020925,137.1507717,137.2450647,137.5906053,137.7336213,137.8371491,137.6717184,137.826742,138.9442442,139.2017893,139.1033338,138.6533744,138.9577693,138.7902849,138.984898,138.9829202,139.1635302,139.2474972,138.9226232,138.8278594,138.4226393,138.370336,137.7871061,138.7354876,138.293054,138.2846787,138.6494858,138.487243,137.8192058,137.5808374,137.4913762,137.4973758,137.7596303,137.8371093,136.7217658,137.8108419,137.3692893,138.1126569
JointControl,0,130.1612746,129.9321092,130.7085739,131.0596275,131.3688748,132.0045568,132.9067702,133.0539105,134.1358957,134.7484909,135.8846226,135.9137464,136.1683747,136.7864121,136.7476661,136.9260381,136.9488324,137.189228,138.1382859,137.158834,138.0022228,137.9295014,137.6138483,138.2019625,138.5629199,137.6288821,138.2032403,137.9399619,137.201658,137.2954966,137.8648379,137.3445427,138.0038636,137.3739305,137.3876695,137.3144684,138.1902095,137.142414,136.8344452,136.8010798,136.322408,137.3316679,137.656019,136.7355727,135.8631638,136.5989566,135.9977413,136.5669465,136.3598343
MinimumHeadway(Baseline_1),0,130.8294552,132.0286119,133.8160447,135.9452102,137.8448851,140.1673066,142.5706548,144.6948848,146.9176004,148.686583,151.3347,153.8613337,156.0508226,157.0609976,158.6361287,160.4974224,162.1565164,164.2754319,165.7042624,167.2180288,168.3572959,171.1781855,171.8911915,171.8972568,173.6949562,174.1910138,175.8149219,176.7837975,177.642382,177.9267282,178.8306123,178.3262945,178.7873669,179.969657,179.7769526,180.6514498,180.6600515,181.6268001,183.2598085,182.7146771,182.815624,183.9723539,185.0601355,184.9285935,185.7483876,187.6599043,188.2571258,189.1028657,190.2376093
QuadraticEberlein(Baseline_2),0,130.4292137,130.4398402,132.4181257,133.0440362,136.1644114,139.7498071,143.6675614,147.4022679,152.007084,156.656204,160.4501707,166.4316886,171.7938229,176.8460034,180.2860974,186.7914367,190.7077471,194.886364,198.917926,202.1761772,207.1487287,211.2912254,214.3246375,219.0706044,221.8800752,224.652427,227.6572607,232.5536022,235.0413568,239.421455,238.7021835,242.7539506,245.0053724,248.138453,250.3453099,251.1739102,254.9069146,255.4481631,258.9986981,260.58762,261.912213,264.0105416,264.6842849,264.8751971,270.4594277,269.4321696,273.0821971,275.4368688,266.8899218
He(Baseline_3),0,138.2154444,142.2283266,137.5686426,140.4420947,137.0178322,140.1648248,136.9589693,138.4331074,138.8916561,139.2151016,139.944608,139.7265685,139.8094354,140.1066831,141.2945272,140.6903553,142.0513015,142.196646,143.0140163,142.6207191,143.1096111,142.9208193,143.9181618,144.4511839,144.3245366,145.6939815,144.833489,145.7760197,146.2506086,146.0562188,147.2926784,146.9395157,147.6326239,147.3836453,148.1554878,149.1932145,149.961959,150.0028244,149.6630562,150.3005727,151.7208878,152.1586953,153.1171486,153.5864812,153.9117569,155.4503753,155.1219099,157.1482601,157.4839685
