,0.005,0.01,0.015,0.02,0.025,0.03,0.035,0.04,0.045,0.05,0.055,0.06,0.065,0.07,0.075,0.08,0.085,0.09,0.095,0.1
NoControl,154.3690578,162.9551743,174.7299635,189.2732082,204.5480891,218.8248951,227.3770275,227.6992275,222.0023741,215.0640011,207.1087675,199.2286085,192.9454487,187.4150339,186.5265477,190.8415721,198.4026976,206.9933307,214.8240947,221.5751634
AtStationControl,133.8098756,132.7394743,133.0820171,133.8023286,135.5963471,137.6843438,140.4122159,143.9637238,148.0163278,150.9896116,154.7160029,158.9041005,163.1150908,168.7827236,177.242158,188.0952187,199.6285292,210.0210939,218.6138646,225.6171154
InterStationControl,133.3678373,133.4657873,134.2991767,135.3255366,136.307326,137.7316773,139.0338484,140.8419238,142.7725252,144.2937541,147.0627491,150.5088681,155.3784018,162.6274137,172.2113687,183.1465735,193.7085657,203.6810618,211.8810153,218.8558259
JointControl,132.8979131,132.8967634,133.5021922,134.4683486,135.3631223,136.5218867,137.7419438,139.3753548,140.7632608,142.5200256,144.567807,148.1769991,153.9806049,162.7723291,174.1392968,186.6117657,198.5297824,209.2663131,218.3512376,225.5330148
MinimumHeadway(Baseline_1),144.2092026,146.3082314,151.0000164,157.4832572,165.5746879,170.0207683,171.1406853,169.3402088,167.4244696,165.5449161,164.7959008,164.7539992,166.6023979,170.2077111,177.101783,186.3526072,196.4372369,205.8622468,214.1249849,220.7639452
QuadraticEberlein(Baseline_2),155.748191,161.5011161,171.8684519,185.0638798,198.6594328,213.5122778,222.5294238,226.9811901,228.2159936,227.872227,226.2997736,228.5215767,231.5024287,229.4052287,226.0328611,225.9747973,227.2830084,225.0441256,227.0418595,226.182653
He(Baseline_3),165.468175,147.2235496,142.5703214,141.9579848,143.4611785,145.3421747,147.9333911,151.2807761,154.5987246,157.3604888,160.0883814,163.2924758,167.3241121,173.0983478,182.9088105,195.6054374,208.2483351,220.9277111,231.7269561,239.6083352
